TOP AAttAtaaTaTaTatATatAtAtATaTaT n=3 W0=A0.A0.A2.a3.a3.a2.a1.a0.A1.a0.A1.A2.A3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAtAAtATatATaTaTatAtAtaaTaTaT n=3 W0=A0.A0.A1.A2.A2.A3.a2.A3.a2.a1.a0.A1.A2.a3.a3.a2.a1 s=a3 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAtAAtaTataTaTaTatAtAtAATaTaT n=3 W0=A0.A0.A1.A2.A2.a3.a2.a3.a2.a1.a0.A1.A2.A3.A3.a2.a1 s=a3 h0=0 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAttATAtATaTaTatAtAtaaTaTaT n=3 W0=A0.A0.A1.A3.A2.A3.a2.a1.a0.A1.A2.a3.a3.a2.a1 s=a3 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAttaTAtaTaTaTatAtAtAATaTaT n=3 W0=A0.A0.A1.a3.A2.a3.a2.a1.a0.A1.A2.A3.A3.a2.a1 s=a3 h0=0 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAtAtAATaTaTatATattAtaTaTaT n=3 W0=A0.A0.A1.A2.A3.A3.a2.a1.a0.A1.a0.A2.a3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAtAtAATaTaTataTatAAtAtaTaTaT n=3 W0=A0.A0.A1.A2.A3.A3.a2.a1.a0.a1.a0.A1.A1.A2.a3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAtAtATaTTataTatAtAtaaTaTaT n=3 W0=A0.A0.A1.A2.A3.a2.a0.a1.a0.A1.A2.a3.a3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAtAtATaTaaTatATatAtAtaaTaTaT n=3 W0=A0.A0.A1.A2.A3.a2.a1.a1.a0.A1.a0.A1.A2.a3.a3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
SENTINEL_DONE
