40_40 555 R=6 short=4 certificate OK: 10 lemmas, 91 steps; Gamma^+ is not left-orderable
40_40 556 R=6 short=4 certificate OK: 10 lemmas, 91 steps; Gamma^+ is not left-orderable
40_40 559 R=6 short=4 certificate OK: 44 lemmas, 669 steps; Gamma^+ is not left-orderable
40_40 562 R=6 short=4 certificate OK: 33 lemmas, 418 steps; Gamma^+ is not left-orderable
40_40 568 R=6 short=4 certificate OK: 23 lemmas, 452 steps; Gamma^+ is not left-orderable
40_40 571 R=6 short=4 certificate OK: 41 lemmas, 526 steps; Gamma^+ is not left-orderable
40_40 572 R=6 short=4 certificate OK: 26 lemmas, 658 steps; Gamma^+ is not left-orderable
40_40 588 R=6 short=4 certificate OK: 11 lemmas, 171 steps; Gamma^+ is not left-orderable
40_40 592 R=6 short=4 certificate OK: 14 lemmas, 239 steps; Gamma^+ is not left-orderable
40_40 605 R=6 short=4 certificate OK: 29 lemmas, 530 steps; Gamma^+ is not left-orderable
40_40 606 R=6 short=4 certificate OK: 28 lemmas, 601 steps; Gamma^+ is not left-orderable
40_40 607 R=6 short=4 certificate OK: 13 lemmas, 249 steps; Gamma^+ is not left-orderable
40_40 608 R=6 short=4 certificate OK: 13 lemmas, 198 steps; Gamma^+ is not left-orderable
40_40 625 R=6 short=4 certificate OK: 11 lemmas, 225 steps; Gamma^+ is not left-orderable
40_40 628 R=6 short=4 certificate OK: 19 lemmas, 274 steps; Gamma^+ is not left-orderable
40_40 629 R=6 short=4 certificate OK: 8 lemmas, 146 steps; Gamma^+ is not left-orderable
40_40 630 R=6 short=4 certificate OK: 11 lemmas, 197 steps; Gamma^+ is not left-orderable
40_40 636 R=6 short=4 certificate OK: 18 lemmas, 270 steps; Gamma^+ is not left-orderable
40_40 638 R=6 short=4 certificate OK: 19 lemmas, 353 steps; Gamma^+ is not left-orderable
40_40 689 R=6 short=4 certificate OK: 10 lemmas, 102 steps; Gamma^+ is not left-orderable
40_40 702 R=6 short=4 certificate OK: 11 lemmas, 163 steps; Gamma^+ is not left-orderable
40_40 703 R=6 short=4 certificate OK: 6 lemmas, 71 steps; Gamma^+ is not left-orderable
40_40 704 R=6 short=4 certificate OK: 7 lemmas, 69 steps; Gamma^+ is not left-orderable
40_40 724 R=6 short=4 certificate OK: 35 lemmas, 381 steps; Gamma^+ is not left-orderable
40_40 726 R=6 short=4 certificate OK: 30 lemmas, 436 steps; Gamma^+ is not left-orderable
40_40 727 R=6 short=4 certificate OK: 35 lemmas, 672 steps; Gamma^+ is not left-orderable
40_40 728 R=6 short=4 certificate OK: 12 lemmas, 222 steps; Gamma^+ is not left-orderable
40_40 729 R=6 short=4 certificate OK: 9 lemmas, 158 steps; Gamma^+ is not left-orderable
40_40 730 R=6 short=4 certificate OK: 21 lemmas, 304 steps; Gamma^+ is not left-orderable
40_40 732 R=6 short=4 certificate OK: 28 lemmas, 411 steps; Gamma^+ is not left-orderable
40_40 733 R=6 short=4 certificate OK: 18 lemmas, 225 steps; Gamma^+ is not left-orderable
40_40 734 R=6 short=4 certificate OK: 15 lemmas, 231 steps; Gamma^+ is not left-orderable
40_40 737 R=6 short=4 certificate OK: 13 lemmas, 297 steps; Gamma^+ is not left-orderable
40_40 738 R=6 short=4 certificate OK: 19 lemmas, 367 steps; Gamma^+ is not left-orderable
40_40 741 R=6 short=4 certificate OK: 16 lemmas, 343 steps; Gamma^+ is not left-orderable
40_40 742 R=6 short=4 certificate OK: 26 lemmas, 525 steps; Gamma^+ is not left-orderable
40_40 757 R=6 short=4 certificate OK: 16 lemmas, 253 steps; Gamma^+ is not left-orderable
40_40 759 R=6 short=4 certificate OK: 11 lemmas, 129 steps; Gamma^+ is not left-orderable
40_40 762 R=6 short=4 certificate OK: 20 lemmas, 297 steps; Gamma^+ is not left-orderable
40_40 764 R=6 short=4 certificate OK: 15 lemmas, 242 steps; Gamma^+ is not left-orderable
40_40 766 R=6 short=4 certificate OK: 21 lemmas, 495 steps; Gamma^+ is not left-orderable
40_40 767 R=6 short=4 certificate OK: 10 lemmas, 131 steps; Gamma^+ is not left-orderable
40_40 769 R=6 short=4 certificate OK: 28 lemmas, 543 steps; Gamma^+ is not left-orderable
40_40 771 R=6 short=4 certificate OK: 39 lemmas, 985 steps; Gamma^+ is not left-orderable
40_40 773 R=6 short=4 certificate OK: 40 lemmas, 1013 steps; Gamma^+ is not left-orderable
41_30 74 R=6 short=4 certificate OK: 32 lemmas, 375 steps; Gamma^+ is not left-orderable
41_30 132 R=6 short=4 certificate OK: 25 lemmas, 289 steps; Gamma^+ is not left-orderable
41_40 179 R=6 short=4 certificate OK: 10 lemmas, 135 steps; Gamma^+ is not left-orderable
41_40 180 R=6 short=4 certificate OK: 10 lemmas, 136 steps; Gamma^+ is not left-orderable
41_40 219 R=6 short=4 certificate OK: 27 lemmas, 265 steps; Gamma^+ is not left-orderable
41_40 221 R=6 short=4 certificate OK: 64 lemmas, 1105 steps; Gamma^+ is not left-orderable
41_40 222 R=6 short=4 certificate OK: 27 lemmas, 265 steps; Gamma^+ is not left-orderable
41_40 229 R=6 short=4 certificate OK: 21 lemmas, 293 steps; Gamma^+ is not left-orderable
41_40 230 R=6 short=4 certificate OK: 28 lemmas, 451 steps; Gamma^+ is not left-orderable
41_40 239 R=6 short=4 certificate OK: 10 lemmas, 123 steps; Gamma^+ is not left-orderable
41_40 254 R=6 short=4 certificate OK: 10 lemmas, 123 steps; Gamma^+ is not left-orderable
41_40 268 R=6 short=4 certificate OK: 10 lemmas, 188 steps; Gamma^+ is not left-orderable
41_40 269 R=6 short=4 certificate OK: 10 lemmas, 201 steps; Gamma^+ is not left-orderable
41_40 271 R=6 short=4 certificate OK: 11 lemmas, 184 steps; Gamma^+ is not left-orderable
41_40 364 R=6 short=4 certificate OK: 10 lemmas, 123 steps; Gamma^+ is not left-orderable
41_40 395 R=6 short=4 certificate OK: 12 lemmas, 203 steps; Gamma^+ is not left-orderable
41_40 396 R=6 short=4 certificate OK: 10 lemmas, 145 steps; Gamma^+ is not left-orderable
41_40 404 R=6 short=4 certificate OK: 10 lemmas, 123 steps; Gamma^+ is not left-orderable
41_40 425 R=6 short=4 certificate OK: 12 lemmas, 152 steps; Gamma^+ is not left-orderable
41_40 449 R=6 short=4 certificate OK: 8 lemmas, 114 steps; Gamma^+ is not left-orderable
41_40 462 R=6 short=4 certificate OK: 24 lemmas, 320 steps; Gamma^+ is not left-orderable
41_40 464 R=6 short=4 certificate OK: 58 lemmas, 937 steps; Gamma^+ is not left-orderable
