256 pi_s=e a pi_t=e s|0=A s A t|0=A t s|3=t | undecided
257 pi_s=e a pi_t=e s|0=A s A t|0=E t s|3=t | undecided
260 pi_s=e a pi_t=e s|0=E s A t|0=A t s|3=t | undecided
261 pi_s=e a pi_t=e s|0=E s A t|0=E t s|3=t | undecided
263 pi_s=e a pi_t=e s|0=E s E t|0=E t s|3=t | undecided
264 pi_s=e a pi_t=a e s|0=A s A t|0=A t A s|3=t | infinite ord(SStSt)=inf ('A A t t', 8, 'A A t t')
265 pi_s=e a pi_t=a e s|0=A s A t|0=A t E s|3=t | undecided
267 pi_s=e a pi_t=a e s|0=A s A t|0=E t E s|3=t | undecided
269 pi_s=e a pi_t=a e s|0=A s E t|0=A t E s|3=t | undecided
271 pi_s=e a pi_t=a e s|0=A s E t|0=E t E s|3=t | infinite ord(SSTSt)=inf ('a E t E E t E', 8, 'a E t E E t E')
272 pi_s=e a pi_t=a e s|0=E s A t|0=A t A s|3=t | undecided
273 pi_s=e a pi_t=a e s|0=E s A t|0=A t E s|3=t | undecided
274 pi_s=e a pi_t=a e s|0=E s A t|0=E t A s|3=t | undecided
275 pi_s=e a pi_t=a e s|0=E s A t|0=E t E s|3=t | undecided
276 pi_s=e a pi_t=a e s|0=E s E t|0=A t A s|3=t | undecided
277 pi_s=e a pi_t=a e s|0=E s E t|0=A t E s|3=t | undecided
279 pi_s=e a pi_t=a e s|0=E s E t|0=E t E s|3=t | infinite ord(SSSST)=inf ('a a a E t E E t E E t E', 11, 'a a a E t E E t E E t E')
280 pi_s=e a pi_t=a E s|0=A s A t|0=A t a s|3=t | undecided
281 pi_s=e a pi_t=a E s|0=A s A t|0=A t e s|3=t | undecided
282 pi_s=e a pi_t=a E s|0=A s A t|0=E t a s|3=t | undecided
283 pi_s=e a pi_t=a E s|0=A s A t|0=E t e s|3=t | undecided
285 pi_s=e a pi_t=a E s|0=A s E t|0=A t e s|3=t | undecided
288 pi_s=e a pi_t=a E s|0=E s A t|0=A t a s|3=t | undecided
289 pi_s=e a pi_t=a E s|0=E s A t|0=A t e s|3=t | undecided
290 pi_s=e a pi_t=a E s|0=E s A t|0=E t a s|3=t | undecided
291 pi_s=e a pi_t=a E s|0=E s A t|0=E t e s|3=t | undecided
293 pi_s=e a pi_t=a E s|0=E s E t|0=A t e s|3=t | undecided
297 pi_s=e a pi_t=a a s|0=A s A t|0=A t E s|3=t | infinite ord(SSStt)=inf ('A t E a t E', 8, 'A t E a t E')
298 pi_s=e a pi_t=a a s|0=A s A t|0=E t A s|3=t | undecided
299 pi_s=e a pi_t=a a s|0=A s A t|0=E t E s|3=t | infinite ord(SSStt)=inf ('a a E t E E t E', 11, 'a a E t E E t E')
301 pi_s=e a pi_t=a a s|0=A s E t|0=A t E s|3=t | infinite ord(SSTST)=inf ('A t E t E', 8, 'A t E t E')
305 pi_s=e a pi_t=a a s|0=E s A t|0=A t E s|3=t | undecided
306 pi_s=e a pi_t=a a s|0=E s A t|0=E t A s|3=t | undecided
307 pi_s=e a pi_t=a a s|0=E s A t|0=E t E s|3=t | undecided
309 pi_s=e a pi_t=a a s|0=E s E t|0=A t E s|3=t | undecided
