===== slice 0 of 16 (k5lane.sh 16 0; log k5_n16_s0.log)
solves 6000 closed 4180 stack 627 minval 7.295378 t 231
solves 8000 closed 5574 stack 570 minval 7.292457 t 301
solves 10000 closed 6982 stack 542 minval 7.292457 t 371
solves 20000 closed 13934 stack 392 minval 7.292457 t 724
solves 22000 closed 15322 stack 330 minval 7.292457 t 793
solves 24000 closed 16734 stack 306 minval 7.292457 t 867
solves 26000 closed 18116 stack 264 minval 7.292457 t 941
solves 30000 closed 20888 stack 228 minval 7.284055 t 1085
resumed 190 boxes on stack
solves 34000 closed 23673 stack 157 minval 7.284055 t 1216
solves 36000 closed 25063 stack 87 minval 7.284055 t 1277
solves 38000 closed 26457 stack 61 minval 7.284055 t 1341
solves 42000 closed 29232 stack 7 minval 7.271205 t 1467
n16s5 m=5 first phase in [0.490874,0.589049]: ALL CLOSED  boxes 29574 (reused parent Z 15919)  solves 42500  min center value 7.271205 at [0.5072, 1.1781, 1.309, 5.6287, 1.309, 0.7854]  smallest half-width 2.62e-01  time 1483s
===== slice 8 of 16 (k5lane.sh 16 8; log k5_n16_s8.log)
# note: after the first 1200 s try, a launcher mistake resumed this slice twice from the same checkpoint, concurrently; the two deterministic runs print identical counts, so each line after 'resumed' appears twice
solves 4000 closed 2819 stack 673 minval 7.296235 t 122
solves 8000 closed 5614 stack 569 minval 7.296235 t 255
solves 10000 closed 7023 stack 538 minval 7.296235 t 323
solves 12000 closed 8417 stack 510 minval 7.296235 t 395
solves 16000 closed 11226 stack 484 minval 7.296235 t 538
solves 20000 closed 14055 stack 407 minval 7.296235 t 671
solves 24000 closed 16867 stack 309 minval 7.296235 t 799
solves 26000 closed 18258 stack 273 minval 7.296235 t 864
solves 28000 closed 19676 stack 253 minval 7.296235 t 932
solves 32000 closed 22483 stack 209 minval 7.296235 t 1083
solves 34000 closed 23907 stack 176 minval 7.296235 t 1151
resumed 188 boxes on stack
resumed 188 boxes on stack
solves 34000 closed 23907 stack 176 minval 7.296235 t 1151
solves 34000 closed 23907 stack 176 minval 7.296235 t 1152
solves 42000 closed 29522 stack 16 minval 7.291721 t 1388
solves 42000 closed 29522 stack 16 minval 7.291721 t 1391
n16s8 m=5 first phase in [0.785398,0.883573]: ALL CLOSED  boxes 30921 (reused parent Z 17122)  solves 43991  min center value 7.291721 at [0.8018, 0.6545, 5.1051, 1.1781, 5.6287, 4.9742]  smallest half-width 1.31e-01  time 1444s
n16s8 m=5 first phase in [0.785398,0.883573]: ALL CLOSED  boxes 30921 (reused parent Z 17122)  solves 43991  min center value 7.291721 at [0.8018, 0.6545, 5.1051, 1.1781, 5.6287, 4.9742]  smallest half-width 1.31e-01  time 1450s
===== slice 9 of 16 (k5lane.sh 16 9; log k5_n16_s9.log)
solves 2000 closed 1393 stack 707 minval 7.306799 t 75
solves 4000 closed 2808 stack 674 minval 7.305596 t 145
solves 6000 closed 4212 stack 621 minval 7.305596 t 211
solves 8000 closed 5614 stack 571 minval 7.305596 t 277
solves 12000 closed 8419 stack 513 minval 7.294258 t 407
solves 14000 closed 9841 stack 497 minval 7.294258 t 472
solves 18000 closed 12632 stack 439 minval 7.294258 t 616
solves 24000 closed 16853 stack 314 minval 7.294258 t 822
solves 26000 closed 18256 stack 276 minval 7.294258 t 885
solves 28000 closed 19664 stack 257 minval 7.292804 t 948
solves 30000 closed 21070 stack 244 minval 7.292804 t 1009
solves 32000 closed 22474 stack 220 minval 7.292804 t 1066
solves 34000 closed 23883 stack 189 minval 7.282728 t 1124
resumed 176 boxes on stack
solves 38000 closed 26675 stack 86 minval 7.282728 t 1241
solves 44000 closed 30896 stack 9 minval 7.282728 t 1416
