TOP AAAtatATTaattATAtaaTT n=2 W0=A0.A0.A0.a1.A2.a0.a0.A2.A1.a2.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtatATTaattaaTAtATT n=2 W0=A0.A0.A0.a1.A2.a0.a0.a2.a2.A1.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtatATAtATTaattaaTT n=2 W0=A0.A0.A0.a1.A2.A1.A2.a0.a0.a2.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtatATAtaaTTaattATT n=2 W0=A0.A0.A0.a1.A2.A1.a2.a2.a0.a0.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtataTTatATaattAATT n=2 W0=A0.A0.A0.a1.a2.a0.A1.a0.a0.A2.A2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtataTTaatATattAATT n=2 W0=A0.A0.A0.a1.a2.a0.a0.A1.a0.A2.A2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtataTTaattAATAtaTT n=2 W0=A0.A0.A0.a1.a2.a0.a0.A2.A2.A1.a2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtataTTaattaTAtAATT n=2 W0=A0.A0.A0.a1.a2.a0.a0.a2.A1.A2.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtataTAtAATTaattaTT n=2 W0=A0.A0.A0.a1.a2.A1.A2.A2.a0.a0.a2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtataTAtaTTaattAATT n=2 W0=A0.A0.A0.a1.a2.A1.a2.a0.a0.A2.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtataaTTatATaattATT n=2 W0=A0.A0.A0.a1.a2.a2.a0.A1.a0.a0.A2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtataaTTaatATattATT n=2 W0=A0.A0.A0.a1.a2.a2.a0.a0.A1.a0.A2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtataaTTaattATAtATT n=2 W0=A0.A0.A0.a1.a2.a2.a0.a0.A2.A1.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtataaTAtATTaattATT n=2 W0=A0.A0.A0.a1.a2.a2.A1.A2.a0.a0.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATTatATaatataTT n=2 W0=A0.A0.A0.A2.A2.a0.A1.a0.a0.a1.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATTataTaatAtaTT n=2 W0=A0.A0.A0.A2.A2.a0.a1.a0.a0.A1.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATTaatATatataTT n=2 W0=A0.A0.A0.A2.A2.a0.a0.A1.a0.a1.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATTaatAtaTataTT n=2 W0=A0.A0.A0.A2.A2.a0.a0.A1.a2.a1.a2 s=a2 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATTaataTatAtaTT n=2 W0=A0.A0.A0.A2.A2.a0.a0.a1.a0.A1.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATTaatataTAtaTT n=2 W0=A0.A0.A0.A2.A2.a0.a0.a1.a2.A1.a2 s=a2 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATATataTaattaTT n=2 W0=A0.A0.A0.A2.A2.A1.a0.a1.a0.a0.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATATaataTattaTT n=2 W0=A0.A0.A0.A2.A2.A1.a0.a0.a1.a0.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATATaattaTataTT n=2 W0=A0.A0.A0.A2.A2.A1.a0.a0.a2.a1.a2 s=a2 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATAtaTTaatataTT n=2 W0=A0.A0.A0.A2.A2.A1.a2.a0.a0.a1.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATAtaTaTaattaTT n=2 W0=A0.A0.A0.A2.A2.A1.a2.a1.a0.a0.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATaTatATaattaTT n=2 W0=A0.A0.A0.A2.A2.a1.a0.A1.a0.a0.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATaTaatATattaTT n=2 W0=A0.A0.A0.A2.A2.a1.a0.a0.A1.a0.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATaTaattaTAtaTT n=2 W0=A0.A0.A0.A2.A2.a1.a0.a0.a2.A1.a2 s=a2 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATataTTaatAtaTT n=2 W0=A0.A0.A0.A2.A2.a1.a2.a0.a0.A1.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttAATataTATaattaTT n=2 W0=A0.A0.A0.A2.A2.a1.a2.A1.a0.a0.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATTatATaatataaTT n=2 W0=A0.A0.A0.A2.a0.A1.a0.a0.a1.a2.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATTataTaatAtaaTT n=2 W0=A0.A0.A0.A2.a0.a1.a0.a0.A1.a2.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATTaatATatataaTT n=2 W0=A0.A0.A0.A2.a0.a0.A1.a0.a1.a2.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATTaatAtATataaTT n=2 W0=A0.A0.A0.A2.a0.a0.A1.A2.a1.a2.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATTaatAtaaTatATT n=2 W0=A0.A0.A0.A2.a0.a0.A1.a2.a2.a1.A2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATTaataTatAtaaTT n=2 W0=A0.A0.A0.A2.a0.a0.a1.a0.A1.a2.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATTaatatATAtaaTT n=2 W0=A0.A0.A0.A2.a0.a0.a1.A2.A1.a2.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATTaatataaTAtATT n=2 W0=A0.A0.A0.A2.a0.a0.a1.a2.a2.A1.A2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATATataTaattaaTT n=2 W0=A0.A0.A0.A2.A1.a0.a1.a0.a0.a2.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATATaataTattaaTT n=2 W0=A0.A0.A0.A2.A1.a0.a0.a1.a0.a2.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
