GroupApproximation.SimpleKazhdanSofic.Lamplighter.isMinimal	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterAction	246
GroupApproximation.SimpleKazhdanSofic.Lamplighter.isTopologicallyFree	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterAction	290
GroupApproximation.SimpleKazhdanSofic.Lamplighter.printedLamplighterAffineSolvableWordProblem	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterAffineWordProblemPrimrec	176
GroupApproximation.SimpleKazhdanSofic.Lamplighter.smul_eq_self_iff	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterAction	256
GroupApproximation.SimpleKazhdanSofic.Lamplighter.unitHom_injective	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterHost	123
GroupApproximation.SimpleKazhdanSofic.LamplighterWP.hostProof	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterWP.Host	50
GroupApproximation.SimpleKazhdanSofic.LamplighterWP.manuscriptSentence_halflineHostWordProblemReduction	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterWP.Host	36
GroupApproximation.SimpleKazhdanSofic.LamplighterWP.manuscriptSentence_halflineKeepsTuringDegree	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterWP.Sentences	95
GroupApproximation.SimpleKazhdanSofic.language_sturmianSubshift	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianLanguage	53
GroupApproximation.SimpleKazhdanSofic.LanguageReduction.cylinderWord	GroupApproximation.Manuscript.SimpleKazhdanSofic.LanguageReducesToWordProblem	56
GroupApproximation.SimpleKazhdanSofic.LanguageReduction.primrec_cylinderWord	GroupApproximation.Manuscript.SimpleKazhdanSofic.LanguageReducesToWordProblem	288
GroupApproximation.SimpleKazhdanSofic.LanguageReduction.wordValue_cylinderWord_eq_one_iff	GroupApproximation.Manuscript.SimpleKazhdanSofic.LanguageReducesToWordProblem	230
GroupApproximation.SimpleKazhdanSofic.LEFCorollaries.manuscriptSentence_sacksAntichainGroups	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFCorollaries.WordProblemHosts	105
GroupApproximation.SimpleKazhdanSofic.lefDiagonalHom_commutator_le	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFDiagonalCommutators	150
GroupApproximation.SimpleKazhdanSofic.lefDiagonalHom_injective	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFDiagonalCommutators	142
GroupApproximation.SimpleKazhdanSofic.lefDiagonalHom_val	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFDiagonalCommutators	135
GroupApproximation.SimpleKazhdanSofic.LevelShiftDeltaWordProblem.primrec_hLetters	GroupApproximation.Manuscript.SimpleKazhdanSofic.LevelShiftDeltaWordProblem	122
GroupApproximation.SimpleKazhdanSofic.LevelShiftDeltaWordProblem.primrec_shiftPair	GroupApproximation.Manuscript.SimpleKazhdanSofic.LevelShiftDeltaWordProblem	79
GroupApproximation.SimpleKazhdanSofic.LevelShiftDeltaWordProblem.primrec_valueWordAt	GroupApproximation.Manuscript.SimpleKazhdanSofic.LevelShiftDeltaWordProblem	143
GroupApproximation.SimpleKazhdanSofic.printedCommutatorMultipliesFirstCoordinate	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFLevelEmbedding	262
GroupApproximation.SimpleKazhdanSofic.printedConjugateMovesLevels	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFLevelEmbedding	270
GroupApproximation.SimpleKazhdanSofic.printedContinuedFractionRepresentative	GroupApproximation.Manuscript.SimpleKazhdanSofic.ContinuedFractionRepresentative	28
GroupApproximation.SimpleKazhdanSofic.PrintedContinuedFractionRepresentative	GroupApproximation.Manuscript.SimpleKazhdanSofic.WordProblemDegreeStatements	170
GroupApproximation.SimpleKazhdanSofic.printedFinitelyPresentedLEFResiduallyFinite	GroupApproximation.Manuscript.SimpleKazhdanSofic.QuestionsNotFinitelyPresented	67
GroupApproximation.SimpleKazhdanSofic.printedLamplighterBallModels	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterModelSequence	268
GroupApproximation.SimpleKazhdanSofic.printedLamplighterMinimalTopologicallyFree	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterAction	337
GroupApproximation.SimpleKazhdanSofic.printedLamplighterModelMatrices	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterModelMatrices	259
GroupApproximation.SimpleKazhdanSofic.printedLanguageReducesToWordProblem	GroupApproximation.Manuscript.SimpleKazhdanSofic.LanguageReducesToWordProblem	300
GroupApproximation.SimpleKazhdanSofic.PrintedLanguageReducesToWordProblem	GroupApproximation.Manuscript.SimpleKazhdanSofic.WordProblemDegreeStatements	144
GroupApproximation.SimpleKazhdanSofic.printedLEFDiagonalEmbedding	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFDiagonalCommutators	207
GroupApproximation.SimpleKazhdanSofic.printedLEFDiagonalIdentities	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFDiagonalCommutators	189
GroupApproximation.SimpleKazhdanSofic.printedLEFFamilyHost	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFCharacterizationClosed	49
GroupApproximation.SimpleKazhdanSofic.PrintedSlopeComputesSturmianLanguage	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianComputability	29
GroupApproximation.SimpleKazhdanSofic.printedSturmianCodingArc	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianLanguage	200
GroupApproximation.SimpleKazhdanSofic.PrintedSturmianCodingArc	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianSubshift	177
GroupApproximation.SimpleKazhdanSofic.printedSturmianEndpointsDetermineWords	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianLanguage	204
GroupApproximation.SimpleKazhdanSofic.PrintedSturmianEndpointsDetermineWords	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianSubshift	186
GroupApproximation.SimpleKazhdanSofic.PrintedSturmianLanguageComputesSlope	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianComputability	34
GroupApproximation.SimpleKazhdanSofic.printedSturmianOnesWithinOne	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianLanguage	211
GroupApproximation.SimpleKazhdanSofic.PrintedSturmianOnesWithinOne	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianSubshift	198
GroupApproximation.SimpleKazhdanSofic.printedSturmianSubshiftClosureOfCodings	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianSubshiftMinimal	328
GroupApproximation.SimpleKazhdanSofic.printedSturmianSubshiftInfiniteIsMinimal	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianSubshiftSetting	40
GroupApproximation.SimpleKazhdanSofic.PrintedSturmianSubshiftInfiniteIsMinimal	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianSubshiftSetting	35
GroupApproximation.SimpleKazhdanSofic.printedTuringAntichainContinuum	GroupApproximation.Manuscript.SimpleKazhdanSofic.TuringAntichain	27
GroupApproximation.SimpleKazhdanSofic.PrintedTuringAntichainContinuum	GroupApproximation.Manuscript.SimpleKazhdanSofic.WordProblemDegreeStatements	184
GroupApproximation.SimpleKazhdanSofic.printedWordProblemReducesToLanguage	GroupApproximation.Manuscript.SimpleKazhdanSofic.WordProblemReducesToLanguageInstance	143
GroupApproximation.SimpleKazhdanSofic.PrintedWordProblemReducesToLanguage	GroupApproximation.Manuscript.SimpleKazhdanSofic.WordProblemDegreeStatements	137
GroupApproximation.SimpleKazhdanSofic.printedWordProblemReducesUnderEmbedding	GroupApproximation.Manuscript.SimpleKazhdanSofic.WordProblemDegreeInvariant	92
GroupApproximation.SimpleKazhdanSofic.restrictedSum	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFRestrictedSum	37
GroupApproximation.SimpleKazhdanSofic.restrictedSumLEFStatement	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFRestrictedSum	165
GroupApproximation.SimpleKazhdanSofic.sturmianCoding	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianSubshift	47
GroupApproximation.SimpleKazhdanSofic.sturmianCoding_eq_floor_sub	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianSubshift	71
GroupApproximation.SimpleKazhdanSofic.SturmianComputability.printedSlopeComputesSturmianLanguage	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianComputability	300
GroupApproximation.SimpleKazhdanSofic.SturmianComputability.printedSturmianLanguageComputesSlope	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianComputability	296
GroupApproximation.SimpleKazhdanSofic.sturmianSubshift	GroupApproximation.Manuscript.SimpleKazhdanSofic.SturmianSubshift	155
GroupApproximation.AlgebraicUltraproduct.Ultraproduct	GroupApproximation.GroupTheory.AlgebraicUltraproductLEF	67
GroupApproximation.Full.SK09.aPerm	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.LemmaNN.LevelAction	132
GroupApproximation.Full.SK09.bPerm	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.LemmaNN.LevelAction	136
GroupApproximation.Full.SK09.commutator_fPerm_tPerm	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.LemmaNN.LevelWords	182
GroupApproximation.Full.SK09.conjPow_aPerm_bPerm	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.LemmaNN.LevelAction	192
GroupApproximation.Full.SK09.Delta	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.LemmaNN.Embedding	193
GroupApproximation.Full.SK09.embedding	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.LemmaNN.Embedding	136
GroupApproximation.Full.SK09.embedding_γ	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.LemmaNN.Embedding	177
GroupApproximation.Full.SK09.embedding_injective	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.LemmaNN.Embedding	162
