OVERFLOW active=3001 total=3196
  TTaTaTaaTaaTaaaaaat -> aaTaaTaaaaTaaaaTaaaaaaaaaaaaT
  TTaTaTaTaaaTaaaaaat -> aaTaaTaaTaaaaaaTaaaaaaaaaaaaT
  taTAtaTATaTaTaaaaaat -> TatAtATAtaaaTaaTaaaaaaaaaaaaT
  TTATaTaTaaaat -> AATaaTaaTaaaaaaaaT
  TTaTaTaaaaTat -> aaTaaTaaaaaaaaTaaT
  TTaTaTaaaaTaat -> aaTaaTaaaaaaaaTaaaaT
  TTaTaTaaaaTaaat -> aaTaaTaaaaaaaaTaaaaaaT
  TTaTaTaaaaTaaaat -> aaTaaTaaaaaaaaTaaaaaaaaT
  TTaTaTaaaaTaaaaat -> aaTaaTaaaaaaaaTaaaaaaaaaaT
  TTaTaTaaaaTaaaaaat -> aaTaaTaaaaaaaaTaaaaaaaaaaaaT
  TTATaaTaTaaaat -> AATaaaaTaaTaaaaaaaaT
  TTaaTaTaaaaTat -> aaaaTaaTaaaaaaaaTaaT
  TTaaTaTaaaaTaat -> aaaaTaaTaaaaaaaaTaaaaT
  TTaaTaTaaaaTaaat -> aaaaTaaTaaaaaaaaTaaaaaaT
  TTaaTaTaaaaTaaaat -> aaaaTaaTaaaaaaaaTaaaaaaaaT
  TTaaTaTaaaaTaaaaat -> aaaaTaaTaaaaaaaaTaaaaaaaaaaT
  TTaaTaTaaaaTaaaaaat -> aaaaTaaTaaaaaaaaTaaaaaaaaaaaaT
  TTATaTaaTaaaat -> AATaaTaaaaTaaaaaaaaT
  TTaTaaTaaaaTat -> aaTaaaaTaaaaaaaaTaaT
  TTaTaaTaaaaTaat -> aaTaaaaTaaaaaaaaTaaaaT
  TTaTaaTaaaaTaaat -> aaTaaaaTaaaaaaaaTaaaaaaT
  TTaTaaTaaaaTaaaat -> aaTaaaaTaaaaaaaaTaaaaaaaaT
  TTaTaaTaaaaTaaaaat -> aaTaaaaTaaaaaaaaTaaaaaaaaaaT
  TTaTaaTaaaaTaaaaaat -> aaTaaaaTaaaaaaaaTaaaaaaaaaaaaT
  TTATaTaTaTaaaat -> AATaaTaaTaaTaaaaaaaaT
  TTaTaTaTaaaaTat -> aaTaaTaaTaaaaaaaaTaaT
  TTaTaTaTaaaaTaat -> aaTaaTaaTaaaaaaaaTaaaaT
  TTaTaTaTaaaaTaaat -> aaTaaTaaTaaaaaaaaTaaaaaaT
  TTaTaTaTaaaaTaaaat -> aaTaaTaaTaaaaaaaaTaaaaaaaaT
  TTaTaTaTaaaaTaaaaat -> aaTaaTaaTaaaaaaaaTaaaaaaaaaaT
  TTATaTaTaaTaaaat -> AATaaTaaTaaaaTaaaaaaaaT
  TTaTaTaaTaaaaTat -> aaTaaTaaaaTaaaaaaaaTaaT
