OVERFLOW active=3001 total=3258
  TaatattaTaaaataaaa -> taaaataTTaTaataatt
  TTaTaataattaTaaaaaa -> aaTaaaataTTaaTaaatt
  TatatattaTaaaataaaa -> taataataTTaTaataatt
  TTaTaataattttaTTTaaT -> aaTaaaatttaTTTTaaTat
  TTaTaataattaTaaaataa -> aaTaaaataTTaaTaatatt
  TTaTaataattaTaataaaa -> aaTaaaataTTaaTataatt
  TTaTaataatttAtATAtaT -> aaTaaaataaattaTAtaTA
  TTaTaataaattttATTTaaT -> aaTaaaatattaTTTTaaTat
  TTaTaataattaTaataataa -> aaTaaaataTTaaTatatatt
  TTaTaataaattaTaaaaaa -> aaTaaaataTTaaaTaaatt
  TTaTaataaattttaTTTaaT -> aaTaaaatttaTTTTaaaTat
  TTaTaataaattaTaaaataa -> aaTaaaataTTaaaTaatatt
  TTaTaataaattaTaataaaa -> aaTaaaataTTaaaTataatt
  TTaTaataaaattttATTTaaT -> aaTaaaatattaTTTTaaaTat
  TTaTaataaattaTaataataa -> aaTaaaataTTaaaTatatatt
  TTaTaataatttAtATAtaaaaaT -> aaTaaaataaattaTAtaTATaat
  TTaTaataatttAtATAtaaaTaaT -> aaTaaaataaattaTAtaTATaTat
  aattaTTTaaaataataa -> ttaTTTTaTaatatatt
  TaatattttaTTTaaaaT -> taaaatttaTTTTaTaat
  TataattttaTTTaaaaT -> taatttaTTTTaaTaat
  TatatattttaTTTaaaaT -> taataatttaTTTTaTaat
  TaataattttATTTaaaaT -> taaaatattaTTTTaTaat
  TataaattttATTTaaaaT -> taatattaTTTTaaTaat
  TatataattttATTTaaaaT -> taataatattaTTTTaTaat
  TTaTaataattttaTTTaaaaT -> aaTaaaatttaTTTTaaTaat
  TTaTaataaattttATTTaaaaT -> aaTaaaatattaTTTTaaTaat
  aattaTTTaaaataataTTaaTat -> ttaTTTTaTaatataattaTaaT
  aattaTTTaaaataataTTaaaTat -> ttaTTTTaTaatataaattaTaaT
  aTTaTTaTaaaataataa -> ATTTTTTaTaatatatt
  TTaTaatatattttaTTTT -> aaTaaaataatttaTTTTa
  TTaTaatatattaTaaaaT -> aaTaaaataataTTaTaat
  TaatattaTaaaataataa -> taaaataTTaTaatatatt
  TTaTaatataattttATTTT -> aaTaaaataatattaTTTTa
  TTaTaatatattaTaaTaaT -> aaTaaaataataTTaTaTat
  TatatattaTaaaataataa -> taataataTTaTaatatatt
  TTaTaatatatttAtATAtaT -> aaTaaaataatattaTAtaTA
  aaTaaaataataTTaaTaaatt -> TTaTaatataattaTaaaaaa
  TTaTaatatattttaTTTaaaaT -> aaTaaaataatttaTTTTaTaat
  TTaTaatatattaTaaaataaaa -> aaTaaaataataTTaTaataatt
  aaTaaaataatttaTTTTaaTat -> TTaTaatataattttaTTTaaT
  aaTaaaataataTTaaTaatatt -> TTaTaatataattaTaaaataa
  TTaTaatatattaTaaTaaaaaa -> aaTaaaataataTTaTaTaaatt
  TTaTaatatattaTaaaataataa -> aaTaaaataataTTaTaatatatt
  TTaTaatataattttATTTaaaaT -> aaTaaaataatattaTTTTaTaat
  TTaTaatatattttaTTTaaTaaT -> aaTaaaataatttaTTTTaTaTat
  aaTaaaataatattaTTTTaaTat -> TTaTaatataaattttATTTaaT
  TTaTaatatattaTaaTaaaataa -> aaTaaaataataTTaTaTaatatt
