coordinate qsharp_0 lift_0
150 13046310939412734708914128719587467931479277656369306198559722434136899369893/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
151 14568748626103593333918544736042428728793234701049885793724719225188329806524/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
152 -1463442760633210476646957910097488842628734801036718534004957875424202043349/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
153 -2542270769180493329988554706973909756257182487102579086803126799879373307891/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
154 2534552855933979174926602467809830695708521546011518259928958695280682875787/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
155 14264726557991300443020754999196448156707641896021097419831785680538987294675/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
156 -7356120744136007251332947155225417668968771447415484984420828017141671814832/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
157 15214971693576819519568529882560815329427940606337677615000219398279639930196/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
158 5241037584440216088168412883601192299121543938249315207430188045013128903369/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
159 -7928726516189589722469537803566620097316428322974209429551255375215282419604/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
160 -640927207735363118943614381980329892115618903316628104835390561382958448090/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
161 2900964727618135016323634658645235781927046859748395451577876900316065424636/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
162 -1415531893666353683948841058531703617200997987053276874399995917104461307102/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
163 -1415193037241341317702080049853837922132070243783440083273378100468347900762/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
164 -1465613922796671043526024126425201323486738218335292814276319781358276766424/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
165 549875853218392001069870847941803472517519241224365423443921875801621699926/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
166 -381286358443116744756095889539779298630786876440249705002752423065208973679/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
167 2070050093304458808729653717948668563116397031336184710600275677886916337201/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
168 -7123935253271917132457452234763943399540958028166539499338813267312528001635/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
169 -335446422667633114426353034386035566364313187955728110299487857752168703921/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
170 300779146791110127096829938522013932615307093864414375806625165309981834659/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
171 696766647880984450326857564423300838783623248795465016110871340131152664490/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
172 1536607469344187301802065299919880807963656566372913170731740564986981736253/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
173 303082803313767691406227660272168217915278281015751376158257048564557619275/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
174 4317140663292818749541550038112846616443402929036472491217511767214462259009/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
175 2505635848975582699674287745046723056969053905334000248681703840972024274247/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
176 338185867122998136226774111081054658626955702981587682851139161858411603891/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
177 -18174480999326651996478444076415456207772097011016927693796575736617763739647/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
178 3095784714085471296552389916864882901108996896584301637382772540861846743366/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
179 4660905099824040624958697057745843911802252459988889529306486201308113040786/804004234784749835623050938825990679641915451901584223035995870071318966348431 6986827318
180 1886815678850516380115908963199209912150120763705977459405642443596572975790/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
181 0 0
182 0 0
183 280327941457548402319718615622649957223947982274868818293979940260906107819/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
184 -3695921418657672145461058348268551439748640650859011404092175796430014631487/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
185 2091026101290205163101910019218613741189116103488789080706077167121401551380/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
186 -2203139653111967287841970057899160687863591981034329385305280534526426175537/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
187 356517717028219876850987716874697751099350975483635864355909516689479195924/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
188 -16404634041359259261191286769350366782406533804138347671536718029234996098987/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
189 -3704038785490194966812585901685721372088912494828419219335452123522843154808/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
190 -4825592702730907997355117652987375931419317933304383284210824907299158596392/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
191 3965215940656744908845125107761919535970623606780590311755340858993514073706/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
192 6515590465619410501345712015405394662346485487930663696941384600038159027103/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
193 23778404034586509168764557305501733916305534161657888729852789683309746026725/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
194 -1234153200686707518616720650552056744109737486905207347912944535683818052927/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
195 6975668014520181597205368157804389626560710687989987129089221211974617323795/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
196 7898828138130891625581242519943730876158309457932311218764071756333183326045/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
197 6975668014520181597205368157804389626560710687989987129089221211974617323795/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
198 0 0
199 -8130526957500381617825624063539562100267801383525347298275083536410555798733/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
200 0 0
201 -300779146791110127096829938522013932615307093864414375806625165309981834659/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
202 595784694870680702430602660793660700911318447438715007892590932527886843706/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
203 11320792372398844717894673650422153794172651366465879484288889591542956891298/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
204 -3824633364531301726955029212501081279768751322211289444008173083094906856307/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
205 -547985404938437632882911209014895835886945380660199329519466661396779982600/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
206 27320404858283417364083511369076893243309915308295404545103513508711782079017/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
207 1998475533513578348848389250334366646293166215213565067160403779300576107871/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
208 -4476945422212670832887826210824934218961477802533977789562741603896794260410/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
209 8130526957500381617825624063539562100267801383525347298275083536410555798733/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
210 4300947693710717699950598889793965783878638922774351594211393107960276748022/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
211 14519416332288772783772397758236468757558903188569657920009553150312851355698/804004234784749835623050938825990679641915451901584223035995870071318966348431 4045004585
212 -1802710211428870759076098258670064936724634406554639434297604607830348795438/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
213 -2102592015384451371464319233515727173233912366629927714831960795610766964992/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
214 -7023665995608610789350133263462524995085821255079489741576668491216111922579/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
215 12938032118392156614425669738789884070715298806155536995061933966818312207290/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
216 -9365944415825356017175811230005102359334026867986099247843751821591537736523/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
217 13828694945877620563722121277060334549603564392513073197572533059445415900856/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
218 7580409092096584321112072624688129259834752368943640987917268289174615666681/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
219 3147757750488756019497140027447832861668140493358530915352273810396889125533/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
