coordinate qsharp lift
104 626786043601939630865758606689938179658230607786737904412377206446031640523401883/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
105 -1069047501609981872312630681545727633663475698120755420093944208099125941368638406/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
106 1596236545585010939049750521777748954461072566559165481712847067604022821254655007/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
107 1565323461690341620515883503104966080549177537908113281700263598460230354328582444/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 1
108 -1263421609742533079125069642890855316318694538088179927589271500141674152264305560/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
109 -1873336924916099265021969959393432824200388608327470089277399744601191540169888000/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
110 1938255866363624060492184765463953614061605998498355737263217273924074445489272629/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
111 348511980993812197347185112158422745662414594920464183255817971685710569734262755/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
112 99629301668866092896707344590671053387877441564164572732079506586094768051852750/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
113 -99629301668866092896707344590671053387877441564164572732079506586094768051852750/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
114 0 0
115 -92824889050982538358504286553431878998570510664096479285649290864083590353993300/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
116 99629301668866092896707344590671053387877441564164572732079506586094768051852750/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
117 185561186695219369017659084783581008830482475560349613179540529239385698927493528/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
118 -391243240850368087716326650609687998122339709148216003795609182712324606811218425/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
119 65413073099161945738501734590479098078713125183525960347178270977963340686163753/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
120 -65413073099161945738501734590479098078713125183525960347178270977963340686163753/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
121 -58608660481278391200298676553239923689406194283457866900748055255952162988304303/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
122 391243240850368087716326650609687998122339709148216003795609182712324606811218425/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
