310 124
251 68 -1
251 64 1
251 64 -1
251 63 -1
251 96 -1
251 96 1
251 96 -1
252 7 1
252 15 -1
252 35 -1
252 39 -1
252 35 -1
252 46 1
252 47 -1
252 47 1
252 66 -1
252 66 1
252 71 -1
252 69 -1
252 71 1
252 80 -1
252 83 -1
252 97 -1
252 97 1
252 100 -1
253 3 1
253 5 -1
253 36 -1
253 32 -1
253 34 -1
253 36 1
253 34 -1
253 32 1
253 65 -1
253 65 1
253 64 -1
253 65 -1
253 65 1
253 62 -1
253 67 -1
253 98 -1
253 98 1
253 99 -1
254 2 1
254 2 -1
254 33 -1
254 36 -1
254 33 -1
254 33 1
254 36 -1
254 36 1
254 68 -1
254 64 1
254 68 -1
254 64 -1
254 68 1
254 63 -1
254 65 -1
254 95 -1
254 99 1
254 98 -1
255 14 1
255 14 -1
255 40 -1
255 48 -1
255 44 -1
255 45 1
255 52 -1
255 35 1
255 77 -1
255 75 1
255 69 -1
255 76 -1
255 76 1
255 72 -1
255 78 -1
255 102 -1
255 100 1
255 97 -1
256 0 1
256 1 -1
256 39 -1
256 45 -1
256 39 -1
256 32 1
256 33 -1
256 33 1
256 70 -1
256 70 1
256 63 -1
256 62 -1
256 63 1
256 67 -1
256 68 -1
256 101 -1
256 101 1
256 93 -1
257 15 1
257 7 -1
257 38 -1
257 51 -1
257 46 -1
257 38 1
257 39 -1
257 51 1
257 75 -1
257 77 1
257 66 -1
257 77 -1
257 75 1
257 76 -1
257 70 -1
257 100 -1
257 102 1
257 102 -1
258 23 1
258 23 -1
258 42 -1
258 38 -1
258 50 -1
258 54 1
258 40 -1
258 53 1
258 80 -1
258 81 1
258 72 -1
258 85 -1
258 86 1
258 79 -1
258 77 -1
258 104 -1
258 103 1
258 105 -1
259 20 1
259 21 -1
259 41 -1
259 44 -1
259 49 -1
259 52 1
259 58 -1
259 41 1
259 81 -1
259 80 1
259 74 -1
259 82 -1
259 78 1
259 85 -1
259 89 -1
259 103 -1
259 104 1
259 104 -1
260 21 1
260 20 -1
260 43 -1
260 57 -1
260 53 -1
260 51 1
260 46 -1
260 42 1
260 84 -1
260 84 1
260 73 -1
260 83 -1
260 79 1
260 78 -1
260 71 -1
260 105 -1
260 105 1
260 103 -1
261 4 1
261 4 -1
261 46 -1
261 47 -1
261 38 -1
261 35 1
261 51 -1
261 39 1
261 71 -1
261 69 1
261 75 -1
261 66 -1
261 66 1
261 73 -1
261 79 -1
261 108 -1
261 106 1
261 107 -1
262 13 1
262 9 -1
262 45 -1
262 35 -1
262 45 -1
262 40 1
262 48 -1
262 48 1
262 76 -1
262 76 1
262 77 -1
262 75 -1
262 77 1
262 81 -1
262 82 -1
262 107 -1
262 107 1
262 106 -1
263 9 1
263 13 -1
263 44 -1
263 52 -1
263 40 -1
263 44 1
263 35 -1
263 52 1
263 69 -1
263 71 1
263 76 -1
263 71 -1
263 69 1
263 70 -1
263 66 -1
263 106 -1
263 108 1
263 108 -1
264 22 1
264 12 -1
264 51 -1
264 42 -1
264 52 -1
264 43 1
264 44 -1
264 57 1
264 79 -1
264 83 1
264 81 -1
264 84 -1
264 84 1
264 83 -1
264 69 -1
264 113 -1
264 109 1
264 117 -1
265 18 1
265 10 -1
265 52 -1
265 41 -1
265 51 -1
265 41 1
265 57 -1
265 44 1
265 78 -1
265 82 1
265 84 -1
265 80 -1
265 81 1
265 86 -1
265 88 -1
265 114 -1
265 110 1
265 110 -1
266 11 1
266 19 -1
266 50 -1
266 40 -1
266 42 -1
266 50 1
266 53 -1
266 40 1
266 72 -1
266 73 1
266 86 -1
266 73 -1
266 72 1
266 89 -1
266 74 -1
266 112 -1
266 111 1
266 113 -1
267 12 1
267 22 -1
267 49 -1
267 46 -1
267 41 -1
267 53 1
267 41 -1
267 58 1
267 73 -1
267 72 1
267 78 -1
267 74 -1
267 74 1
267 75 -1
267 81 -1
267 111 -1
267 112 1
267 116 -1
268 17 1
268 16 -1
268 47 -1
268 49 -1
268 48 -1
268 47 1
268 43 -1
268 49 1
268 83 -1
268 79 1
268 85 -1
268 79 -1
268 83 1
268 88 -1
268 84 -1
268 109 -1
268 113 1
268 111 -1
269 24 1
269 24 -1
269 48 -1
269 50 -1
269 47 -1
269 55 1
269 49 -1
269 43 1
269 82 -1
269 78 1
269 83 -1
269 86 -1
269 85 1
269 77 -1
269 73 -1
269 110 -1
269 114 1
269 115 -1
270 10 1
270 18 -1
270 53 -1
270 58 -1
270 43 -1
270 49 1
270 42 -1
270 46 1
270 74 -1
270 74 1
270 79 -1
270 72 -1
270 73 1
270 69 -1
270 80 -1
270 115 -1
270 115 1
270 114 -1
271 16 1
271 17 -1
271 55 -1
271 43 -1
271 55 -1
271 48 1
271 50 -1
271 50 1
271 85 -1
271 86 1
271 82 -1
271 78 -1
271 82 1
271 71 -1
271 72 -1
271 117 -1
271 116 1
271 112 -1
272 19 1
272 11 -1
272 54 -1
272 53 -1
272 54 -1
272 42 1
272 38 -1
272 38 1
272 86 -1
272 85 1
272 80 -1
272 81 -1
272 80 1
272 82 -1
272 75 -1
272 116 -1
272 117 1
272 109 -1
273 25 1
273 30 -1
273 59 -1
273 59 -1
273 60 -1
273 61 1
273 55 -1
273 60 1
273 92 -1
273 91 1
273 88 -1
273 87 -1
273 90 1
273 74 -1
273 85 -1
273 121 -1
273 118 1
273 122 -1
274 30 1
274 25 -1
274 58 -1
274 54 -1
274 57 -1
274 56 1
274 56 -1
274 61 1
274 89 -1
274 88 1
274 87 -1
274 92 -1
274 91 1
274 92 -1
274 91 -1
274 120 -1
274 119 1
274 123 -1
275 28 1
275 29 -1
275 57 -1
275 55 -1
275 58 -1
275 60 1
275 61 -1
275 56 1
275 88 -1
275 89 1
275 91 -1
275 90 -1
275 87 1
275 91 -1
275 90 -1
275 119 -1
275 120 1
275 121 -1
276 26 1
276 27 -1
276 56 -1
276 61 -1
276 61 -1
276 58 1
276 59 -1
276 54 1
276 91 -1
276 92 1
276 92 -1
276 88 -1
276 89 1
276 90 -1
276 92 -1
276 118 -1
276 121 1
276 120 -1
277 29 1
277 28 -1
277 61 -1
277 60 -1
277 56 -1
277 59 1
277 54 -1
277 59 1
277 90 -1
277 87 1
277 89 -1
277 91 -1
277 92 1
277 84 -1
277 86 -1
277 123 -1
277 122 1
277 118 -1
278 27 1
278 26 -1
278 60 -1
278 56 -1
278 59 -1
278 57 1
278 60 -1
278 55 1
278 87 -1
278 90 1
278 90 -1
278 89 -1
278 88 1
278 87 -1
278 87 -1
278 122 -1
278 123 1
278 119 -1
279 2 1
279 2 -1
279 5 1
279 5 -1
279 3 1
279 0 -1
279 32 -1
279 33 -1
279 31 -1
279 37 -1
279 37 1
279 37 1
279 34 1
279 34 -1
279 34 1
279 37 1
279 34 1
