coordinate qsharp lift
134 486835880897664549403669289294925460823085753118592809649938025365730096862473134/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
135 33214698549535405785126088900148400721555181810603953022138350629766231080926578/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
136 0 0
137 -328541957308651071170483250793577771427465649583883473053893925253260764427066150/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
138 152467050467998756855708241541736215354445225372182720278413186378669620796154542/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
139 183895466305532892972318174070147311153779174442465607484885891134680658291369083/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
140 -96975056511349303443176126548086010608795818968704868201700167057950406394126551/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
141 -123466515373542981447000652202560141336547297647279364698595376900809363581650817/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
142 123466515373542981447000652202560141336547297647279364698595376900809363581650817/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
143 -50599128020690976673468237866553955247631137153297886709660974139541321829680179/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
144 0 0
145 -114008011110007640175070300869499526583489326512589196015548063326413558361112954/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
146 -91541528168911056423769761038380129365668180695569563102002154880136565018475212/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
147 51484588998685369074427345069013957349707321410054608109950945329973116813446585/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
148 19553877297753664503681200865032457893760531023979116388895273388869707864603215/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
149 52252696530150701781561392297179178740721018515946822103853910355313290929251162/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
150 -180912150212655480389762866241516487381984934103742937662713637803783807396030956/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
151 -11208175506230486552177085036286980250781277228160507467140715149217399258074352/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
152 229666855461092667171340780558777478176692364192493629729301777353885298954536116/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
153 -172239997143786478066122161456134961587800680630234057265013950563422800598842013/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
154 175062043364205615325827302984392220322519290058720105578130038745037859447106911/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
155 168145754908304094521852597651185090960158566130369685814494564999674233554192278/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
156 -267238243665454657904657804199724794896746683695488010530372244877600511201859373/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
157 -150489389905266850338758246411274909377613372047036806518926760326476209714731811/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
158 491491702145830010073863425995301324815643707014586318199550372015561779026794703/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
159 101864344550130262779432861737785968582337411401301632176770196382851120662695968/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
160 -475493478995844954642937579680404647676369346950045055706813306345245924069608706/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
161 49555499342524213562363334093581239347741980120787242938158300505208557448001304/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
162 -87099121712845468747969728935285104032554721725369371998933744494272169392579276/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
163 123174728729754117827765105480317876802597275778591063701017842442702864457436403/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
164 -114008011110007640175070300869499526583489326512589196015548063326413558361112954/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
165 146970065245354450059655330613428351348141783567436786359311884318504673112292520/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
166 31504941528490410788896096934083694479412965611134336534800056016960637589635938/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
167 66318014706749631825569651086420733526692354489647939057930460574030226131341976/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
168 -301271741328956243737217782038792081990260405523908463367092679247111097914752348/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
169 -338358092647296323527109902189988045463172931098573012510278583883768512262881881/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
170 7676800662665515186923931668671195022697333856915120084267589772280227793699552/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
171 226661751630018138803278304070594717693621281980609153652527516723261449132351747/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
172 12795462333038443440069077247615049555407788540590114795393695236697929131710331/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
173 342999927500010225991131471399711977882893974517157718179827907399054574065917125/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
174 -379745194734432343282401503559441090862867058107885164794206027637606791630909100/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
175 -122776372791605558481347826331469179023290792880868065324979388550834918229414701/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
176 150950361194515663074843314951309752146995569406846971643069859593758351395529252/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
177 -338131364922426127935389957997093172094980648459815210186041212395985819659883592/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
178 58685819105669706203595367520436690247601083354521914499045173324132204204738890/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
179 629423049468553546520681712475577187759500336968415380288508532239248424017238163/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
180 -217318282140391545242657020902514056625380400859051522418085103437978115549104938/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
181 -378075382569840289119935434148389213790734386567384582466397467190061469084175065/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
182 6723239687341727781301563245674269993803703132029456525243140786907273893402312/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
183 0 0
184 52252696530150701781561392297179178740721018515946822103853910355313290929251162/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
185 0 0
186 -303910589401300034352659247719467613310365327301442899462296040803766232814818675/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
187 -281733635012076646926318585420866400218952354739714362937403135190320724277156305/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
188 -586579467653522495490051170099496261000589340278342308245767526771486567016178767/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
189 2009676745984607699886330933905496714654631972808167478941343801882840639962540/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
190 -48123172628687268291327648311406891779116626109810839851719491043524081948704770/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
191 251420280367156289282067478246499467307131714387062696557348478224405828450561967/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
192 -71436984888800047034764161821829262910325765348536121993087833663565901683185342/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
193 13794979508071900003478523167894524559568423120677747858942602026224654409453298/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
194 -50305919707414421173603589370788813679071046363720398150039417559732667133177579/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
195 214865452869771967433669590307649163062277287389628829560568467791438683458235812/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
196 -100413768416020988263851327794354629064448248268089659018047582164712116635341083/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
197 -222389606466161101857921003087018495999593549894886925885054018957640565363035132/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
198 129714969492219917697995756277454613221693430531695425170042414298003680174882801/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
199 31438062749137501945455686962110867316665017396742624974695550557584963329729827/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
200 -123466515373542981447000652202560141336547297647279364698595376900809363581650817/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
201 -113716224466218776555834754147257262049539304643900895017970528868307059236898540/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
202 0 0
203 51484588998685369074427345069013957349707321410054608109950945329973116813446585/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
204 0 0
205 72805248003342144303494796866057191110292197670109529572870637673139929551898792/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
206 -542692307766141855132469401828752893520077013242514131373285364258015412545612687/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
207 182577971532653943348028458718173586990066415359691333096126872065086859230917014/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
208 10542188850465289324125821897187783231670277867782931717609764589377873624651552/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
209 240684495472011967778667532205020964840689863111688057563770660035120084968167062/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
210 165523921014159918138407855490368481581925120834309542228331210997772631074120488/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
211 188189634676231025918102495453924391099939872533859309126752485295900224985639022/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
212 -51484588998685369074427345069013957349707321410054608109950945329973116813446585/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
213 -290720453430089124761391613572575700409604936324868334944790296605982787805083783/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
214 -275792399658555923186022202816034993040256067107875842096334758680993396856855772/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
215 102923496761797677594961779746533604966033745913325711060750681155732759380359745/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
216 -12795462333038443440069077247615049555407788540590114795393695236697929131710331/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
217 12795462333038443440069077247615049555407788540590114795393695236697929131710331/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
218 38591875278368960500116504262063235912926367729321985470610833114416767712927799/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
219 -17751549301380577092310653609310222442715262173161661218038939711595290274231726/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
220 -9327497341719363172259477879427402748365078287522509570961172696945342885007284/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
221 -10253461103412749418825911408555930186754979091358061754380043423240050028418774/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
222 -48241590563979985298821806462381931337131411917009703636888221770838368003082428/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
223 223929712645767612378786331059955330548242577415901367948867247836338741743952391/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
224 161884436038893166907889829783472599199856482016982018627517260548208688903694372/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
225 -45155260217912220557422928653123273704012352376958279695377123699939216313778019/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
226 -160993810108270628062915598456847475304188753498345647775373826737555331507475372/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
227 -52252696530150701781561392297179178740721018515946822103853910355313290929251162/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
228 216469895187361916153862776640543804817683869037256383300193225719247476290598260/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
229 207619881639708140884939024902704805661891052208333647579322273222695367312355820/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
230 -50404493703900017739788948253604380891668572932279040214714403457218767910597840/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
231 128709736171982534814199566885932135007640956351185298523357355972144261533536442/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
232 -309825764059010221788737809927341873836167743569924458119985793491668814718880218/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
