coordinate qsharp_0 qsharp_1 lift_0 lift_1
113 22540437326857264177705076713415519788 -232935514242451261415058459963744059309530594586247209677441008807810542138691314977315894313341103593554416493118116306/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
114 0 0 0 0
115 -121769532986393407144866798079357314463 1258380588359393554281677301443709222205231403108678537294855955424573085025905239189719491153265682132888272610745964431/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
116 -22540437326857264177705076713415519788 232935514242451261415058459963744059309530594586247209677441008807810542138691314977315894313341103593554416493118116306/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
117 94175120677343194781017379966546341022 -973216705857073316918137138012403894860346549897667672889764708740679099179376033568615155624807371103618205840216455118/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
118 -54220181134873141068277813429653560636 560317690017572530662186504707433105897631372875666591566248761970887298779125678421027790524582411153041072597903103607/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
119 -44239012447910887103960746592002622541 457171126039065771765636594129360999190825331649562986284605303402737459251922688969228061583289229221902800622947299438/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
120 44239012447910887103960746592002622541 -457171126039065771765636594129360999190825331649562986284605303402737459251922688969228061583289229221902800622947299438/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
121 -100070957865339784218611128200770211710 1034144976562779043931099167278092282323936666045362760687691660829646167912673865197807323883317556504539888480916781299/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
122 54220181134873141068277813429653560636 -560317690017572530662186504707433105897631372875666591566248761970887298779125678421027790524582411153041072597903103607/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
123 179980424460909241168861010435133003805 -1859938745528405595599421789039844554507624292337187942871322813910655811320290983085112075655235059677982703608231904010/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
124 167565488568487934343754742379876801863 -1731641346748901635175861050812274030888625973780680685546357670069060746440275018293977853334399634344910109380404148372/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
125 -175840271813571460690692321361108772724 1817153924099906131341104994525366467521497644761085404517665123217201832807207417589983343794850870008289135160620932271/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
126 17414502215612789535034489823477260598 -179963501597049524840892173341226729653184582435753871646074937961981258261559040170271470786883856357022716749195235205/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
127 57709868832086235015419326868270262842 -596380530614162835205236754865794137279874102002055218818607092322201749424379925084876310632614750364884220204574209576/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
128 154094632184312586432296162103609161562 -1592431942173804571736260890075840892799577203428188453012355881149596456267817782178329604285074113201928689798777238234/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
129 665357035106563716907091474195132422962 -6875877378950090795465827241463737596183734542708865102303536685144821300374621209385074406278409394823574759574577256139/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
130 6633319077355621351444201152940128966 -68549494759670971776256475450294206912589050897205758106482803567546915417787511006106452689998434732689535728870634190/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
131 -171666314918084373725820149626740343648 1774019765619420728001803739499855220104429037070091741581936216944374656378976069963731130073608646979823219368896101435/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
132 -38861591942640443792446898576251010421 401600233933942741318515424909838248031201442339652587668757869055644358025315706190859054581291086357941229711089456042/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
133 -130180468861852631434334325488690940264 1345300182908517669791619990156286186084160067252837824739467412627780168601604500114957947975407874274836480055894218957/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
134 -670286918653183700400293727649569971978 6926823371808847591331754475501146282429570831023900832900899853378383643789592362300839020885020765626848625623327325840/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
135 54220181134873141068277813429653560636 -560317690017572530662186504707433105897631372875666591566248761970887298779125678421027790524582411153041072597903103607/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
136 0 0 0 0
137 444358494942347410317210347573642584706 -4592052630854122842741055079634792961004230014011651474782560073663338829219920569827211549561883167791614295286345062856/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
138 -145970387789894014420586191840423700242 1508475050903093080448187403510631188595582281062503724434656562472467384722871122073008269515700360390635823280462271948/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
139 -248419805579466882726747183092376160239 2567199310357431766510850714238665433351455372990850151347189449251841737471939217213532366183098433488085410224883746233/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
140 180092151375458088589093162149919609135 -1861093344523880666221274537347303234361936657678454397083199823249059424561222865470340220456348907248437145977524991203/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
141 169076547371467105057584582384195334709 -1747256805056941980308799081144690192226885322254030881685383039287395520767751598114636886561558179170013583611268184015/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
142 -169076547371467105057584582384195334709 1747256805056941980308799081144690192226885322254030881685383039287395520767751598114636886561558179170013583611268184015/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
143 44239012447910887103960746592002622541 -457171126039065771765636594129360999190825331649562986284605303402737459251922688969228061583289229221902800622947299438/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
144 0 0 0 0
145 154094632184312586432296162103609161562 -1592431942173804571736260890075840892799577203428188453012355881149596456267817782178329604285074113201928689798777238234/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
146 186885123068933337723447283218829796134 -1931292708081423948979900955881251970134659497311717117471784050798931759275361461182905717045342694073495783546227928175/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
147 -107981540955909979465368628873729795915 1115893866943182457246440791106908555511145965360360214996169820971244846312924620375531020877921569370106586803450753320/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
148 -174025847563788280433036514480928054931 1798403451802120118910222328989852111947847638701982698911578457556885387041384848520922013554150944170650061768370322501/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
149 56532222608664371455365889967489838050 -584210596878156687968903173847509239526603360048234584405095182763605792376411039431987849199816140609376721032467562584/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
150 273510793141233965025449201212209492968 -2826492508878795756013309356905799882275673546387185798091187261705397081318040796733764659097286332709858424251029362926/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
151 -16240039943324256455313866543034421948 167826471184249155768103303747941479354177233322735511407495995208597335861336724398644935742970551052670865259284915162/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
152 -158836017575077115876723033382626994520 1641429973055105544915918145276352672819852197537091554872101312054465711060837541672851532656628622508055595739267484258/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
153 276054545664810606253352760548760917013 -2852779944814160214954557165252815831274900209445545046554570354049097537108609419234801356540594162699765533509322596297/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
154 -410597816217021680650219588736805452443 4243165830388730459587247739058993616978757891792205193328611104049218887807223577236861089375779613765665572120506162841/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
155 -277435549498507140297362900358531349984 2867051399866614168920869838702724359734221029989401014762458075527235510169332082640628706472887824158950699323732756113/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
156 364903169831126748647154700614246645155 -3770952013075477546239393529415436811382391678325079427716730962398692097775825213374347243358940067050036367398921521194/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
157 241908079764070267428914751345325658777 -2499906374580717634937892399940674434267998752442368313059662010051217591037876214487068476255527721008765701466859854800/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
158 -714113626364576351112030566192841643771 7379733692503598228931365721128468225617224875670312604874620676542654770673926308920719755314321389643789076609417127825/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
159 57063272231423003286324929024372244084 -589698525757786316923988091861817233300528401869387142197253652208545169867801087505339895418745733081575862069215963510/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
160 530676616276255482732274658472591582870 -5484074187037459236596770129273986393332559671979662628653311449624725308340626332555105232436974883645723785180545442728/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
161 -107195247312111767459794242633964305162 1107768216512901116992265207715473941723319657371707443572781855055177182402133321045685048574387218447530519559579247759/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
162 72845279943391466481350903639926384470 -752791638320667729783129709539715601415786901397948950486543102207664733784262395817912280303007325916598875484836469463/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
163 -111221716126410033113266558171949331745 1149378215921485295428973341329073259830296974418530982580386545105106900369314690708831583927190517353303792050815064324/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
164 154094632184312586432296162103609161562 -1592431942173804571736260890075840892799577203428188453012355881149596456267817782178329604285074113201928689798777238234/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
165 -231995051770184669376911829776503322764 2397463984489899190730671042555338147744430091190691498073602672344078680490909397597984993649149387308890418585875385174/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
166 -53908438188261252694365550500437876446 557096101965508686889947011886469132072088165167256854023803361883760878898302690657268352790137245789870809828204992980/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
167 -125531151748150779410833362012724921352 1297253596364876376943134493465850150687257524837564007846162713115408342734073178346595083445747294102154301837705810720/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
168 635248085565087759798469319389165650486 -6564727974746335731826655564318058486444009031292888139581350170574733067261163438160685033214197557121093940115119123775/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
169 427892446399827756084091702176288472143 -4421890560386089240129272711418927838108429925244839935175912889969269975461603098777204140600806528050943922054204123126/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
170 -244351547719445210507004149877411988746 2525157458065333006473023362512084770689847122196756903404505986411489815094231508242569386176195886087623341610547397307/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
171 -222584029519182395884544155254491212643 2300209380428940124363727183305081816390289004460635290808287583721174308913980190916353015957980740859331128668253053739/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
172 61324602053410889945483713026920274695 -633735606274353143527798453279533512696287595921279011319794650210191219344199385330202196913645781054116650259482789212/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
173 -331454309125324004536648562851383869517 3425287576474388073925711750488873354292678886077931798581821639687019625333111799436408075430121895728933400116902997417/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
174 454036607209180707871637734906629798798 -4692067374360668186355354372623686448916279051602127110553040080907091394972024115119122921414764709567998769875264805323/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
175 216773837811404001822762626485471089809 -2240166180127498313608834299176917137148646469897973433704495940866470945257728400595257844731282832612044866959116154627/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
176 -114939164340852001084025778863058713830 1187794760327611735547642730597493030652790649740935488161642040774025310432747784889593246106021302064741272687891286291/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
177 488203936164022305112638765215041323496 -5045156545834019020132273265945710305950079446315894484216191584337586409451679515720651874030789816261499094202774740152/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
178 -291715876887585248118845516371504894948 3014625972431008078846150391639790710293906088242967307611860044421071016365847442517431466152580830780471107529413253693/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
179 -829301886942752286171633838851025425007 8570102642466287476971783050311372739672054651304667613654921478179612844098636786117450731315729033765330258973750432541/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
180 347329135716906992057242372684634144616 -3589339890189443046494089201622296689082407920152374223225738676067534880037123600895783710654337643027540941623089615275/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
181 504700470533054391703670180237966644149 -5215633660396929981813310053740120757077238922914446028903510830521450489336190100448141326297494323193250850672584553619/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 18829775352757928623622240519079989000015147708917064821885782701268 -11267966349870243524020683528747973938022878643079765859680258706810
182 43204577130882157536769233663929286210 -446481150550633844749711048504820063762580037451243076168431978009223394985654411065324456629791683074617510231646296419/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
183 0 0 0 0
184 56532222608664371455365889967489838050 -584210596878156687968903173847509239526603360048234584405095182763605792376411039431987849199816140609376721032467562584/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
185 0 0 0 0
186 444359275650075900733472626469266793201 -4592060698779051357270741061933383893443470039743230733630934070024385933126559746747230477208574042554010936378991747676/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
187 357145812276341923104594520699830130319 -3690786573293466607728700884240512394038460669409482357741526349632650978095169548823292007705666049717305749123894980234/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
188 690397163365069537771228839572332070493 -7134644991486259240020868983568393063807877705116141350871968827663053762758710930249059466274341347485050448375912607824/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
189 180146621436957869317295602452621981358 -1861656244506799427801123412844988669768171762709525571610765761331062203179221795267590558917436457064541791102190071863/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
190 -118951416363794440380723175911694457846 1229257841752426307473431410521907366266988843193274375857892589560846082176805196369950895797564101159281931879563403186/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
191 -32541128120256028208789569212769560921 336283821950946171670462802775685820458031690048448456117885207106307797808877077998670032484243703667496237784236195202/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
192 73996299945745526162435917994336065070 -764686413575637127911345120756732987203093379380638961279030928060875148530761194160864322277518097452971538331689985526/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
193 -67966806903954440693556016815621821376 702376927652867304639894547728336258556122002232210178471106373983736932018063939802503802905556416535901531626526113515/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
194 -39716663476822831593003006455450202561 410436643123374681405570491815030132818889377519301756133981207936062748173433941525077137818013272026182187013605927239/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
195 -133067031434482540579768723197885624954 1375130257964222412007994257854472278482440912364363643224172389497458815162824311834719049973080448099611887580372445545/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
196 121399917376777128858638339515426093977 -1254560937442708831291683995942538837322353296477446222228496047826872542037097759206877999150362150558097798189354304196/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
197 428716337599688572473128118571174939978 -4430404748355758384886938967900598237056718593319635773167114773152966684051435839272700890417463238493143024437113098629/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
198 -287803063836476262436287215221478022917 2974190504965225581448439454039857422596119187248355544721983331064784511612656948743972143430651964016750987427170965135/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
199 117124709282359172797417302767352500809 -1210380437236522975451489080267086973809925631728500561977380828785976253349882257277642247759747516062612451161205501423/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
200 169076547371467105057584582384195334709 -1747256805056941980308799081144690192226885322254030881685383039287395520767751598114636886561558179170013583611268184015/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
201 96239800939255514487978137891363158598 -994553353038347886856435150260223960402988855592688553907359386967307835869380874772524301650706451385218898238324118543/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
202 0 0 0 0
203 -107981540955909979465368628873729795915 1115893866943182457246440791106908555511145965360360214996169820971244846312924620375531020877921569370106586803450753320/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
204 0 0 0 0
205 -155438349066721816196986875990575029744 1606318069512927400393852345183972687174418304593583339195151552693173659025208547865657151661110016739980837775368452100/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
206 539834871615544175275165168255911765799 -5578716668285107809498960858161307278301541718809424431583848988595742333559392250276067068486641474195064819217709123515/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
207 -165212601185768335767784127463183443940 1707326333490692567887037734660098684890446032019049362132124964368933083654702807350845144894547653676603387096402685167/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
208 34664569665112471154117907753097377678 -358227715099175719967823570644982415432688200301793916191008926424949453710514151838146634584131895481486396119829875417/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
209 -76528628591087407394426383009532950354 790855793817907899044423170514888184502901194128394745647288145075096278940194967040764043478387333316719092060714285320/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
210 37285372005645649080672595536308382776 -385311392849851931538196821869469172878739989681537329313577818084514032255619027956790786518198796723184658508880309992/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
211 -442231578602665070325426776976160003782 4570072828769969814306182009618807649695331042839730725634968724591593252829418650263163932691120105346455764590732267378/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
212 107981540955909979465368628873729795915 -1115893866943182457246440791106908555511145965360360214996169820971244846312924620375531020877921569370106586803450753320/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
213 408947491229363389491562668497509812077 -4226111179048434155491099660341215158049020785484569320842928221864851867215734967969687343291359767581680285223104378396/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
214 417381104852850671737789103241692584494 -4313265128096638122238083790760854326760205002426623412377095513727585568899079776717999704007288182880971656316983730115/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 255448425881466721091913546431828524501544284706387918380814532312331 -152863441705272577932656714234812910258936735194319401276792040417979
215 -236374303900458787649591676699081320265 2442719687925045390005048811306084878708433091398539127794671112509114625740376939090489005759334990354756037385976537925/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
216 -61324602053410889945483713026920274695 633735606274353143527798453279533512696287595921279011319794650210191219344199385330202196913645781054116650259482789212/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
217 61324602053410889945483713026920274695 -633735606274353143527798453279533512696287595921279011319794650210191219344199385330202196913645781054116650259482789212/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
218 -171713806089997050045948437943091777517 1774510544941535961603505659849775978318875651529414706072732036764166893444099487509961954878917214714314413333805863524/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
219 232842711858969914838927831072238782684 -2406223802936222247955759375839373901296730876596511311029336016922597099469691731739971344658227628413546501681287498327/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
220 64490164030787990520050854533314122862 -666448893792874196518326509389107457050350729313594661361069190427547883638482054018126040118262751874576637978966282599/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
221 -22301072958590322981402392532924286608 230461894879833803186074783696585430138424014025327788421215800019913527686493713313740987392749608665571119309327310551/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
222 -324932210491696292404262683253165227434 3357887446781523740622605541323616437586836869964386694142978946434109093630664400386312827200816197877343708209103424705/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
223 -406462182633729084203599676747061664313 4200427709496338396659432193477635208992674760982492059198938998716414228050975041251248631073698557531799123092985608726/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
224 -238639734451608571266354404806690359162 2466130912062381589829085822538039018085055975984089228759680279980700219389763766273819129720875420871252022737875019433/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
225 -258297130325006993589887533814416016667 2669272738906249749710548642834823176621380435461425179179487933166997337884328634023588686318026998803618505135795841750/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
226 508790547546379221581412078652095681994 -5257900994369854432267586976537360209203463406697916244715139763755559658725720023192873050939448957792501454291798089165/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
227 -56532222608664371455365889967489838050 584210596878156687968903173847509239526603360048234584405095182763605792376411039431987849199816140609376721032467562584/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
228 -263933447940988552202070315641920399340 2727519104017724905979615987548345951581370528158637975983907643479476163058113776243743172270945796113032535747949482520/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
229 -267250112379047897815201391997430790974 2761793902028341896306936117621427495596380958944740446507023620877341438316529689721194895450530521145835634225475576659/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
230 51169968747228363289425401833234074556 -528796438643351994713144009763751756041908112447188653005306487023663683059739415023530034659072511451298183319991301626/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
231 -126895963918470005775508812077360845788 1311357724875234366502971513450061376371424767046165712270287078133963499531697075810958880309214238956522234641934137769/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
232 174063054441008885816075605142016627348 -1798787952020685569575122729749646709952121568615379364710098087443327014635890690235171755095702890628030927965591355197/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
233 -272873560969003356523010162430551873863 2819907277120514395916697532016509605070668432005151368647956050746870915465301240252360868955828652632683188962145897577/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
234 470812976623905591408684843728683723682 -4865436336997611162262135112337887799233751815616058096132638175953785721110797689776749653443910076720338248344617262006/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
235 70339879883122354379282725080397051616 -726900541224406426271703215705153152437113821677580183459199900689106989655165854259788927207952133166388278881172111343/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
236 233934541679563298398787676173603483802 -2417506899933729478437211612545238405382574508118026481468071891504504919219764063653801326721025087853103118362838494586/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
237 277419694346152958184531257205020286797 -2866887550868768271478150540494684917611707335101603571365705292388866267049519592735188850557006847633168875483674668120/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 330162729860199446950328565336691091218359622384463173110125545764049 -197573388973073091681024906606204502157816884646379325279456034548078
238 460767968143748804930841698589193716598 -4761630045133559712300122717238874808820832047347899643902195427104583715914296372447966245097153822462131109291487368200/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
239 38858515948058353274037623963244868824 -401568446246357260510490331180297999977552434234032111819967539930172537053620197777832046937938732496037716818891320502/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
240 -185707323673135917962919643388902407915 1919121191444183431768305432849613443790763799192250069146696114914961077319891084785776660981443399880155592485372953127/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
241 -245536494454469551583959424450037007407 2537402836141646156259907785709668855887109157283368821707513788924512787462053369168357086574423482356451400980643669604/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
242 108863984193682129285165231361434989569 -1125013138517177639829404700760377367658017112361230893588054501393153793429645155369055425256923452665746239502690347302/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
243 -593247759579016794549090662819541311096 6130691696299377555329840028726291592163859637651139177888160194757759039399821888539193109073039637274742855370453502293/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
244 -295608570247624890844556440950132640119 3054853520657350953045720914686102118691863966760734697535333555488719226207944657981556819784834078024335624280112965024/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
245 563589462329794032061372126168976709540 -5824199385563612153732785475824693135887695333860445019535871865762841844888451420447934064754550841588677320419326620493/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
246 -116793973335702648109469102465782724799 1206962573301775487988851533171910325394201041722491229008770499020863765952437792099246217028591625185789763915354075722/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
247 13427377261162454142439265994810922962 -138760086235308165662447915444199128324182495792298202967399560523975793634479198512200609119230046717634281900032440440/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
248 123146449930793261928633132296493287737 -1272609809020111033231730063422956493812783566493543639926599575827078541493037697305849709547202726666936562884270268236/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
249 -468566749773178663394152491947768156604 4842223566145297340248926601995952612912927098505835788699935081174175152647498244072129055763205663105316477729261157581/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
250 97978973165827267722942555227207965635 -1012526162131540582633753565310740960115784209545909292609021112629937595669519567484487802721103779904493030089385753259/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
251 -369983213685315004556215073797611027012 3823449780105915730575603331781762800256179537688819381876582805701526666229897532891254651396401811073982738584306731554/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
252 213820709110673137182502723262468519649 -2209648202922625871613392812610665467582985308826226397117821022595797494475518364058437596203234369570934803679614493938/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
253 116994099913780887643235034989521579172 -1209030704753807807102251494570411602439257138130429688423458752862236976409959911233238894435704605134903810094626846534/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
254 -393896248321052256519283267374438493849 4070569875390670267435408405675063660833871299345387794226628448741780445753226909532102266334155779860878508523423882969/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
255 265794413210267645294742957429445767294 -2746750536651481468866767381714045966358219978742289100226413743988741396675465445692968371853158267762664647464762051466/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
256 288133267565890175896985257753305832049 -2977602868904773391447878432422628254594672961229541832477520315981908292862996215003172180428713841118201309183434200897/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
257 -380149049193463370970109084046710326593 3928504712601534282127107620508127778703788796340679218286185665681631130332724352487957155395243709137525783368622620968/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
258 195680798891517103406746395789014853102 -2022188250219030985464182923915622151777574772871497391515233096886123972742066917415077009036659441524417491589592703926/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
259 -434199402639031221978493030500999084614 4487067383425499598860215250587991928780723767499978719527774930689655119329978226332886341679705496143529011776765117790/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
260 160420221741021817277666304403753007295 -1657801324094496112328142455228074411720761796146004935217425496922347656686914461452630797180718013231863457869387458539/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
261 -461716266466739060632982089682178002853 4771429870856452535024598997082256593508372606159659947697755451447679258813120353254109962088942395403032163308793615679/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
262 377216198903836805663477856101619393404 -3898196294867496578780291855366756360593162190508433757606972908272086980864488165037643303221046592346063842204796326127/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
263 -406962184761809082340307139211711409277 4205594789936603887930293262887666990351902337378420677419325617161970270514240743504367172962276180584666251795919151375/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
264 459678089017050434105487518931084172118 -4750367106834793565872374050066234280238071133451424054441157443197553273147188743683235978812387072674903629981485156539/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
265 175476489245532350000161242459503281471 -1813394552516744196521299787825871167625343182500352845190961950023595190306430936013163353159111941023927928097278953101/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 254218294177103609979906126486099782535625146973857968547466826162418 -152127315947476859762367886150698191911856962418293825216200021516409
266 482354305152236143083629936819530230206 -4984705775154629503139520797005590837314926457905415560879408632984823414995847619757189388365005338083921680552890675790/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 1456055379952508017175121200435278309192127145020233524560892214732 -871321230205189386900916492956336277184246816797937608394003303983
267 19475282882185751851726695285182771901 -201259849904236662481081705437975558876221126297892047533857784310968151328517207862785609745082589321785255785573172726/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
268 120727322157392318389633362476940668899 -1247610259821306208164236168039796739201707037365330517305596590258087999643459385506424038240525041274509067109404114865/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
