w=XXXXYY i=4 j=2 phi={"a": "abbcacacacababbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCBBBBaCCBBBBCaCCBBBBC", "b": "cbbbbccA", "c": "bcbbbbccAcbbbbccAbbbbccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -15, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
w=XXXYXY i=4 j=2 phi={"a": "abbcacacababbcababb", "b": "ca", "c": "babb"} psi={"a": "aCBCBBBaCBCBBBCaCBCBBBC", "b": "cbbbcbcA", "c": "bcbbbcbcAcbbbcbcAbbbcbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -15, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
w=XXXYYY i=3 j=3 phi={"a": "abbcacacababbbabbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCCBBBaCCCBBBCaCCCBBBC", "b": "cbbbcccA", "c": "bcbbbcccAcbbbcccAbbbcccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -17, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=22
w=XXYXXY i=4 j=2 phi={"a": "abbcacababbcacababb", "b": "ca", "c": "babb"} psi={"a": "aCBBCBBaCBBCBBCaCBBCBBC", "b": "cbbcbbcA", "c": "bcbbcbbcAcbbcbbcAbbcbbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -15, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
w=XXYXYY i=3 j=3 phi={"a": "abbcacababbcababbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCBCBBaCCBCBBCaCCBCBBC", "b": "cbbcbccA", "c": "bcbbcbccAcbbcbccAbbcbccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -17, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=22
w=XXYYXY i=3 j=3 phi={"a": "abbcacababbbabbcababb", "b": "ca", "c": "babb"} psi={"a": "aCBCCBBaCBCCBBCaCBCCBBC", "b": "cbbccbcA", "c": "bcbbccbcAcbbccbcAbbccbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -17, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=22
w=XXYYYY i=2 j=4 phi={"a": "abbcacababbbabbbabbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCCCBBaCCCCBBCaCCCCBBC", "b": "cbbccccA", "c": "bcbbccccAcbbccccAbbccccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -19, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=24
w=XYXXXY i=4 j=2 phi={"a": "abbcababbcacacababb", "b": "ca", "c": "babb"} psi={"a": "aCBBBCBaCBBBCBCaCBBBCBC", "b": "cbcbbbcA", "c": "bcbcbbbcAcbcbbbcAbcbbbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -15, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
w=XYXXYY i=3 j=3 phi={"a": "abbcababbcacababbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCBBCBaCCBBCBCaCCBBCBC", "b": "cbcbbccA", "c": "bcbcbbccAcbcbbccAbcbbccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -17, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=22
w=XYXYXY i=3 j=3 phi={"a": "abbcababbcababbcababb", "b": "ca", "c": "babb"} psi={"a": "aCBCBCBaCBCBCBCaCBCBCBC", "b": "cbcbcbcA", "c": "bcbcbcbcAcbcbcbcAbcbcbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -17, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=22
