# Raw outputs, 2026-09-17. Heuristic search: False/FAIL means budget or pruning failure, never a proof.

## python3 mcensus.py 2 1 1500 cohn
FAIL (3, 1) (2, -2) (4, 45)
FAIL (3, 1) (2, -1) (4, 64)
FAIL (3, 1) (2, 3) (4, 121)
FAIL (3, 1) (3, -2) (4, 169)
FAIL (3, 1) (3, -1) (4, 91)
FAIL (3, 1) (3, 3) (4, 91)
FAIL (3, 1) (-1, 3) (4, 90)
FAIL (3, 1) (-1, 2) (4, 121)
FAIL (3, 1) (-1, -2) (4, 64)
FAIL (3, 1) (-1, -3) (4, 144)
FAIL (3, 1) (-2, 3) (4, 225)
FAIL (3, 1) (-2, 2) (4, 45)
FAIL (3, 1) (-2, 1) (4, 64)
FAIL (3, 1) (-2, -3) (4, 121)
FAIL (3, 1) (-3, 2) (4, 169)
FAIL (3, 1) (-3, 1) (4, 91)
FAIL (3, 1) (-3, -3) (4, 91)
FAIL (3, 2) (1, -3) (4, 256)
FAIL (3, 2) (1, 3) (4, 100)
FAIL (3, 2) (2, -3) (6, 183)
FAIL (3, 2) (2, -2) (4, 79)
FAIL (3, 2) (2, -1) (4, 100)
FAIL (3, 2) (3, -3) (6, 99)
FAIL (3, 2) (3, -2) (4, 106)
FAIL (3, 2) (3, -1) (4, 169)
FAIL (3, 2) (-1, 3) (4, 256)
FAIL (3, 2) (-1, -3) (4, 100)
FAIL (3, 2) (-2, 3) (6, 183)
FAIL (3, 2) (-2, 2) (4, 79)
FAIL (3, 2) (-2, 1) (4, 100)
FAIL (3, 2) (-3, 3) (6, 99)
FAIL (3, 2) (-3, 2) (4, 106)
FAIL (3, 2) (-3, 1) (4, 169)
FAIL (3, 3) (1, -2) (4, 119)
FAIL (3, 3) (2, -3) (4, 79)
FAIL (3, 3) (2, -2) (6, 172)
FAIL (3, 3) (2, -1) (4, 144)
FAIL (3, 3) (3, -2) (6, 99)
FAIL (3, 3) (3, 1) (4, 91)
FAIL (3, 3) (-1, 2) (4, 119)
FAIL (3, 3) (-2, 3) (4, 79)
FAIL (3, 3) (-2, 2) (6, 172)
FAIL (3, 3) (-2, 1) (4, 144)
FAIL (3, 3) (-3, 2) (6, 99)
FAIL (3, 3) (-3, -1) (4, 91)
mode cohn B 3 W 1 budget 1500 total 800 reduced 544 failed 256 max steps on success 822 seconds 239.7

## python3 level_census.py 2 5 3000
OK (1, 1) 2
OK (1, 0, 1) 2
OK (1, 1, 1) 3
OK (1, 0, 0, 1) 2
OK (1, 0, 1, 1) 8
FAIL (1, 1, 0, 1) (5, 90)
OK (1, 1, 1, 1) 6
OK (1, 0, 0, 0, 1) 2
OK (1, 0, 0, 1, 1) 13
OK (1, 0, 1, 0, 1) 3
FAIL (1, 0, 1, 1, 1) (6, 31)
FAIL (1, 1, 0, 0, 1) (8, 55)
FAIL (1, 1, 0, 1, 1) (8, 121)
OK (1, 1, 1, 0, 1) 13
OK (1, 1, 1, 1, 1) 10
OK (1, 0, 0, 0, 0, 1) 2
OK (1, 0, 0, 0, 1, 1) 18
FAIL (1, 0, 0, 1, 0, 1) (5, 90)
FAIL (1, 0, 0, 1, 1, 1) (4, 119)
FAIL (1, 0, 1, 0, 0, 1) (4, 95)
FAIL (1, 0, 1, 0, 1, 1) (6, 31)
FAIL (1, 0, 1, 1, 0, 1) (8, 123)
FAIL (1, 0, 1, 1, 1, 1) (14, 37)
FAIL (1, 1, 0, 0, 0, 1) (10, 115)
FAIL (1, 1, 0, 0, 1, 1) (13, 86)
FAIL (1, 1, 0, 1, 0, 1) (14, 68)
FAIL (1, 1, 0, 1, 1, 1) (14, 57)
FAIL (1, 1, 1, 0, 0, 1) (11, 67)
OK (1, 1, 1, 0, 1, 1) 11
FAIL (1, 1, 1, 1, 0, 1) (8, 45)
FAIL (1, 1, 1, 1, 1, 1) (14, 29)
n 2 W 5 budget 3000 total 31 reduced 14 max steps on success 18 seconds 23.4

## python3 level_census.py 3 3 3000
OK (1, 1) 4
OK (1, 2) 6
OK (2, 1) 6
OK (2, 2) 8
OK (1, 0, 1) 4
OK (1, 0, 2) 6
FAIL (1, 1, 1) (6, 25)
FAIL (1, 1, 2) (8, 34)
FAIL (1, 2, 1) (8, 45)
FAIL (1, 2, 2) (8, 44)
OK (2, 0, 1) 6
OK (2, 0, 2) 8
FAIL (2, 1, 1) (8, 34)
FAIL (2, 1, 2) (8, 33)
FAIL (2, 2, 1) (8, 44)
FAIL (2, 2, 2) (8, 45)
OK (1, 0, 0, 1) 4
OK (1, 0, 0, 2) 6
FAIL (1, 0, 1, 1) (12, 35)
FAIL (1, 0, 1, 2) (12, 35)
FAIL (1, 0, 2, 1) (12, 47)
FAIL (1, 0, 2, 2) (12, 47)
FAIL (1, 1, 0, 1) (12, 35)
FAIL (1, 1, 0, 2) (12, 35)
FAIL (1, 1, 1, 1) (12, 43)
FAIL (1, 1, 1, 2) (12, 43)
FAIL (1, 1, 2, 1) (12, 54)
FAIL (1, 1, 2, 2) (12, 55)
FAIL (1, 2, 0, 1) (12, 47)
FAIL (1, 2, 0, 2) (12, 47)
FAIL (1, 2, 1, 1) (12, 54)
FAIL (1, 2, 1, 2) (12, 55)
FAIL (1, 2, 2, 1) (12, 65)
FAIL (1, 2, 2, 2) (12, 65)
OK (2, 0, 0, 1) 6
OK (2, 0, 0, 2) 8
FAIL (2, 0, 1, 1) (12, 35)
FAIL (2, 0, 1, 2) (12, 35)
FAIL (2, 0, 2, 1) (12, 47)
FAIL (2, 0, 2, 2) (12, 47)
FAIL (2, 1, 0, 1) (12, 35)
FAIL (2, 1, 0, 2) (12, 35)
FAIL (2, 1, 1, 1) (12, 43)
FAIL (2, 1, 1, 2) (12, 43)
FAIL (2, 1, 2, 1) (12, 55)
FAIL (2, 1, 2, 2) (12, 55)
FAIL (2, 2, 0, 1) (12, 47)
FAIL (2, 2, 0, 2) (12, 47)
FAIL (2, 2, 1, 1) (12, 55)
FAIL (2, 2, 1, 2) (12, 57)
FAIL (2, 2, 2, 1) (12, 67)
FAIL (2, 2, 2, 2) (12, 65)
n 3 W 3 budget 3000 total 52 reduced 12 max steps on success 8 seconds 38.2

## reduce_matrix(cohn(2, 1+t+t^3)) with slacks (2,40) and (4,120), ad hoc run
(2, 40) (True, 24660, (4, 13)) 10.4
(4, 120) (False, 150000, (4, 64)) 86.5

## larger-budget reruns, budget 120000, slacks (2,40) and (3,80), same code path as hard_cases.py
3 (1, 1, 1) (2, 40) (True, 64269, (4, 13)) 24.7
3 (1, 1, 1) (3, 80) (False, 120000, (4, 64)) 51.6
2 (1, 1, 0, 1) (2, 40) (True, 24660, (4, 13)) 10.0
2 (1, 1, 0, 1) (3, 80) (True, 74920, (4, 13)) 32.8
3 (1, 1, 2) (2, 40) (False, 24656, (6, 148)) 9.5
3 (1, 1, 2) (3, 80) (False, 120000, (4, 52)) 51.6
2 (1, 0, 1, 1, 1) (2, 40) (True, 63378, (4, 13)) 25.9
2 (1, 0, 1, 1, 1) (3, 80) (False, 120000, (4, 64)) 57.6
2 (1, 1, 1, 1, 1, 1) (2, 40) (True, 22789, (10, 19)) 11.9
2 (1, 1, 1, 1, 1, 1) (3, 80) (True, 35841, (10, 19)) 19.3

## python3 hard_cases.py 150000 3:1,1,2 3:1,2,2
3 (1, 1, 2) (1, 30) (False, 1961, (8, 34)) 0.6
3 (1, 1, 2) (2, 40) (False, 24656, (6, 148)) 9.8
3 (1, 1, 2) (2, 80) (False, 47576, (6, 148)) 20.7
3 (1, 1, 2) (3, 80) (False, 150000, (4, 52)) 71.6
3 (1, 1, 2) (4, 40) (False, 150000, (4, 52)) 99.6
3 (1, 2, 2) (1, 30) (False, 2634, (8, 44)) 0.8
3 (1, 2, 2) (2, 40) (False, 4135, (8, 44)) 1.6
3 (1, 2, 2) (2, 80) (False, 6886, (8, 44)) 2.6
3 (1, 2, 2) (3, 80) (False, 150000, (4, 52)) 84.7
3 (1, 2, 2) (4, 40) (False, 150000, (4, 52)) 99.1

## python3 level_census.py 5 1 20000
OK (1, 1) 8
FAIL (1, 2) (4, 52)
FAIL (1, 3) (4, 52)
OK (1, 4) 10
FAIL (2, 1) (4, 64)
FAIL (2, 2) (4, 79)
FAIL (2, 3) (4, 79)
FAIL (2, 4) (4, 64)
FAIL (3, 1) (4, 64)
FAIL (3, 2) (4, 79)
FAIL (3, 3) (4, 79)
FAIL (3, 4) (4, 64)
OK (4, 1) 10
FAIL (4, 2) (4, 52)
FAIL (4, 3) (4, 52)
OK (4, 4) 12
n 5 W 1 budget 20000 total 16 reduced 4 max steps on success 12 seconds 82.8

## python3 level_census.py 7 1 3000
OK (1, 1) 12
FAIL (1, 2) (4, 95)
FAIL (1, 3) (4, 95)
FAIL (1, 4) (4, 95)
FAIL (1, 5) (4, 95)
OK (1, 6) 14
FAIL (2, 1) (4, 100)
FAIL (2, 2) (4, 121)
FAIL (2, 3) (4, 143)
FAIL (2, 4) (4, 143)
FAIL (2, 5) (4, 121)
FAIL (2, 6) (4, 100)
FAIL (3, 1) (4, 121)
FAIL (3, 2) (4, 141)
FAIL (3, 3) (4, 161)
FAIL (3, 4) (4, 161)
FAIL (3, 5) (4, 141)
FAIL (3, 6) (4, 121)
FAIL (4, 1) (4, 121)
FAIL (4, 2) (4, 141)
FAIL (4, 3) (4, 161)
FAIL (4, 4) (4, 161)
FAIL (4, 5) (4, 141)
FAIL (4, 6) (4, 121)
FAIL (5, 1) (4, 100)
FAIL (5, 2) (4, 121)
FAIL (5, 3) (4, 143)
FAIL (5, 4) (4, 143)
FAIL (5, 5) (4, 121)
FAIL (5, 6) (4, 100)
OK (6, 1) 14
FAIL (6, 2) (4, 95)
FAIL (6, 3) (4, 95)
FAIL (6, 4) (4, 95)
FAIL (6, 5) (4, 100)
OK (6, 6) 16
n 7 W 1 budget 3000 total 36 reduced 4 max steps on success 16 seconds 146.3

## python3 level_census.py 4 1 3000  (includes unimodular and non-primitive f)
OK (1, 1) 6
OK (1, 2) 5
OK (1, 3) 8
FAIL (2, 1) (4, 42)
OK (2, 2) 14
FAIL (2, 3) (4, 42)
OK (3, 1) 8
OK (3, 2) 7
OK (3, 3) 10
n 4 W 1 budget 3000 total 9 reduced 7 max steps on success 14 seconds 13.8

## python3 level_census.py 6 1 3000  (includes unimodular and non-primitive f)
OK (1, 1) 10
OK (1, 2) 8
OK (1, 3) 5
OK (1, 4) 10
OK (1, 5) 12
FAIL (2, 1) (4, 81)
FAIL (2, 2) (4, 95)
OK (2, 3) 9
FAIL (2, 4) (4, 95)
FAIL (2, 5) (4, 81)
FAIL (3, 1) (4, 91)
FAIL (3, 2) (4, 106)
OK (3, 3) 45
FAIL (3, 4) (4, 106)
FAIL (3, 5) (4, 91)
FAIL (4, 1) (4, 81)
FAIL (4, 2) (4, 95)
OK (4, 3) 12
FAIL (4, 4) (4, 95)
FAIL (4, 5) (4, 81)
OK (5, 1) 12
OK (5, 2) 10
OK (5, 3) 7
OK (5, 4) 12
OK (5, 5) 14
n 6 W 1 budget 3000 total 25 reduced 13 max steps on success 45 seconds 74.7

## python3 hard_cases.py 100000 5:2,1 5:2,2 5:1,2
5 (2, 1) (1, 30) (False, 335, (4, 64)) 0.1
5 (2, 1) (2, 40) (False, 25020, (4, 64)) 9.5
5 (2, 1) (2, 80) (False, 45388, (4, 64)) 15.5
5 (2, 1) (3, 80) (False, 100000, (4, 64)) 36.6
5 (2, 1) (4, 40) (False, 100000, (4, 64)) 40.4
5 (2, 2) (1, 30) (False, 499, (4, 79)) 0.1
5 (2, 2) (2, 40) (False, 34324, (4, 79)) 11.9
5 (2, 2) (2, 80) (False, 56772, (4, 79)) 21.0
5 (2, 2) (3, 80) (False, 57512, (4, 79)) 21.7
5 (2, 2) (4, 40) (False, 100000, (4, 45)) 178.0
5 (1, 2) (1, 30) (False, 297, (4, 64)) 0.7
5 (1, 2) (2, 40) (False, 90500, (4, 52)) 204.6
5 (1, 2) (2, 80) (False, 100000, (4, 52)) 92.0
5 (1, 2) (3, 80) (False, 100000, (4, 52)) 54.5
5 (1, 2) (4, 40) (False, 100000, (4, 52)) 59.6

## python3 hard_cases.py 100000 6:3,1 6:2,1
6 (3, 1) (1, 30) (False, 330, (4, 91)) 0.6
6 (3, 1) (2, 40) (False, 28788, (4, 91)) 54.4
6 (3, 1) (2, 80) (False, 41636, (4, 91)) 48.9
6 (3, 1) (3, 80) (True, 41639, (4, 15)) 35.9
6 (3, 1) (4, 40) (True, 28791, (4, 15)) 15.0
6 (2, 1) (1, 30) (False, 200, (4, 81)) 0.1
6 (2, 1) (2, 40) (False, 17352, (4, 81)) 6.9
6 (2, 1) (2, 80) (False, 28004, (4, 81)) 13.8
6 (2, 1) (3, 80) (True, 28011, (2, 11)) 20.7
6 (2, 1) (4, 40) (True, 17359, (2, 11)) 16.9

## python3 wide_cases.py 250000 5:2,1 7:2,1  (stopped by hand during the 7:2,1 runs; no 7:2,1 output)
5 (2, 1) (3, 300) (False, 250000, (4, 64)) 102.3
5 (2, 1) (5, 300) (False, 250000, (4, 64)) 178.2
5 (2, 1) (8, 400) (False, 250000, (4, 64)) 551.4

## python3 vorbit.py (vector-orbit search, see vorbit.py)
[2] [3, 1] -> [2] [1, 1] budget 20000 slack 2 (True, 2)
[6] [3, 1] -> [2] [1, 1] budget 100000 slack 2 (False, 100000)
[2] [1, 1] -> [6] [3, 1] budget 100000 slack 2 (False, 100000)
[6] [3, 1] -> [2] [1, 1] budget 100000 slack 3 (False, 100000)

## python3 vreduce.py: see vreduce_results.txt
